GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
response to stimulus (GO:0050896)	3478	94	6.23e+01	+	1.51e+00	1.10e-04	5.17e-03
ribosome biogenesis (GO:0042254)	350	18	6.27e+00	+	2.87e+00	1.12e-04	5.21e-03
protein-containing complex assembly (GO:0065003)	450	21	8.06e+00	+	2.61e+00	1.15e-04	5.32e-03
fructose 1,6-bisphosphate metabolic process (GO:0030388)	13	4	2.33e-01	+	1.72e+01	1.89e-04	8.64e-03
RNA processing (GO:0006396)	789	30	1.41e+01	+	2.12e+00	2.15e-04	9.76e-03
tRNA aminoacylation for protein translation (GO:0006418)	63	7	1.13e+00	+	6.20e+00	2.33e-04	1.05e-02
NAD(P)H dehydrogenase complex assembly (GO:0010275)	5	3	8.96e-02	+	3.35e+01	2.85e-04	1.27e-02
serine family amino acid biosynthetic process (GO:0009070)	46	6	8.24e-01	+	7.28e+00	2.98e-04	1.31e-02
L-serine metabolic process (GO:0006563)	29	5	5.19e-01	+	9.63e+00	3.04e-04	1.33e-02
starch metabolic process (GO:0005982)	49	6	8.78e-01	+	6.84e+00	4.06e-04	1.76e-02
protein-containing complex subunit organization (GO:0043933)	528	22	9.46e+00	+	2.33e+00	4.18e-04	1.79e-02
photosystem II stabilization (GO:0042549)	6	3	1.07e-01	+	2.79e+01	4.21e-04	1.79e-02
cellular response to oxidative stress (GO:0034599)	51	6	9.13e-01	+	6.57e+00	4.93e-04	2.08e-02
glucose metabolic process (GO:0006006)	51	6	9.13e-01	+	6.57e+00	4.93e-04	2.06e-02
carotenoid metabolic process (GO:0016116)	18	4	3.22e-01	+	1.24e+01	5.41e-04	2.24e-02
tetraterpenoid metabolic process (GO:0016108)	18	4	3.22e-01	+	1.24e+01	5.41e-04	2.22e-02
malate metabolic process (GO:0006108)	18	4	3.22e-01	+	1.24e+01	5.41e-04	2.20e-02
auxin-activated signaling pathway (GO:0009734)	123	9	2.20e+00	+	4.09e+00	5.74e-04	2.32e-02
chloroplast mRNA processing (GO:0010239)	7	3	1.25e-01	+	2.39e+01	5.94e-04	2.38e-02
cellular response to auxin stimulus (GO:0071365)	124	9	2.22e+00	+	4.05e+00	6.06e-04	2.41e-02
purine-containing compound metabolic process (GO:0072521)	241	13	4.32e+00	+	3.01e+00	6.32e-04	2.49e-02
cellular protein-containing complex assembly (GO:0034622)	410	18	7.34e+00	+	2.45e+00	6.81e-04	2.66e-02
response to light intensity (GO:0009642)	36	5	6.45e-01	+	7.75e+00	7.39e-04	2.87e-02
cellular response to chemical stress (GO:0062197)	56	6	1.00e+00	+	5.98e+00	7.75e-04	2.98e-02
alpha-amino acid metabolic process (GO:1901605)	247	13	4.42e+00	+	2.94e+00	7.84e-04	2.99e-02
Group II intron splicing (GO:0000373)	21	4	3.76e-01	+	1.06e+01	8.97e-04	3.40e-02
purine nucleotide metabolic process (GO:0006163)	220	12	3.94e+00	+	3.05e+00	9.20e-04	3.46e-02
regulation of biological process (GO:0050789)	4183	104	7.49e+01	+	1.39e+00	9.31e-04	3.47e-02
response to temperature stimulus (GO:0009266)	192	11	3.44e+00	+	3.20e+00	1.02e-03	3.77e-02
xanthophyll metabolic process (GO:0016122)	9	3	1.61e-01	+	1.86e+01	1.06e-03	3.89e-02
glycogen biosynthetic process (GO:0005978)	10	3	1.79e-01	+	1.67e+01	1.36e-03	4.96e-02
gluconeogenesis (GO:0006094)	24	4	4.30e-01	+	9.30e+00	1.39e-03	5.00e-02
hexose biosynthetic process (GO:0019319)	24	4	4.30e-01	+	9.30e+00	1.39e-03	4.96e-02
