GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	6	3	6.86e-02	+	4.37e+01	1.15e-04	1.34e-02
cellular process (GO:0009987)	12532	183	1.43e+02	+	1.28e+00	1.26e-04	1.44e-02
cellular lipid metabolic process (GO:0044255)	676	20	7.73e+00	+	2.59e+00	1.59e-04	1.78e-02
small molecule biosynthetic process (GO:0044283)	571	18	6.53e+00	+	2.76e+00	1.59e-04	1.74e-02
gene expression (GO:0010467)	1710	5	1.95e+01	-	2.56e-01	1.61e-04	1.72e-02
cellular amino acid biosynthetic process (GO:0008652)	203	10	2.32e+00	+	4.31e+00	1.73e-04	1.81e-02
alpha-amino acid metabolic process (GO:1901605)	247	11	2.82e+00	+	3.90e+00	1.93e-04	1.97e-02
seed germination (GO:0009845)	22	4	2.51e-01	+	1.59e+01	1.98e-04	1.98e-02
response to hormone (GO:0009725)	589	18	6.73e+00	+	2.67e+00	2.29e-04	2.25e-02
organic hydroxy compound metabolic process (GO:1901615)	256	11	2.93e+00	+	3.76e+00	2.59e-04	2.49e-02
response to endogenous stimulus (GO:0009719)	596	18	6.81e+00	+	2.64e+00	2.63e-04	2.48e-02
indolalkylamine metabolic process (GO:0006586)	25	4	2.86e-01	+	1.40e+01	3.06e-04	2.83e-02
tryptophan metabolic process (GO:0006568)	25	4	2.86e-01	+	1.40e+01	3.06e-04	2.78e-02
carboxylic acid biosynthetic process (GO:0046394)	402	14	4.59e+00	+	3.05e+00	3.22e-04	2.87e-02
alcohol metabolic process (GO:0006066)	107	7	1.22e+00	+	5.72e+00	3.28e-04	2.87e-02
cell communication (GO:0007154)	1228	29	1.40e+01	+	2.07e+00	3.37e-04	2.90e-02
response to oxygen-containing compound (GO:1901700)	404	14	4.62e+00	+	3.03e+00	3.38e-04	2.85e-02
indole-containing compound biosynthetic process (GO:0042435)	26	4	2.97e-01	+	1.35e+01	3.50e-04	2.90e-02
seedling development (GO:0090351)	27	4	3.09e-01	+	1.30e+01	3.98e-04	3.24e-02
lipid metabolic process (GO:0006629)	951	24	1.09e+01	+	2.21e+00	5.35e-04	4.29e-02
cellular biogenic amine metabolic process (GO:0006576)	54	5	6.17e-01	+	8.10e+00	5.47e-04	4.31e-02
cellular amine metabolic process (GO:0044106)	54	5	6.17e-01	+	8.10e+00	5.47e-04	4.24e-02
organic acid biosynthetic process (GO:0016053)	425	14	4.86e+00	+	2.88e+00	5.48e-04	4.18e-02
response to chemical (GO:0042221)	1139	27	1.30e+01	+	2.07e+00	5.76e-04	4.33e-02
