Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-0.142296503,0.864849986,,-1.980148365,0.00017784,Down,-2.846009302,3.16E-06,Down,-3.172270659,1.79E-08,Down,-3.624730651,1.33E-07,Down
Os01g0102700,['not assigned.unknown'],LOC_Os01g01307,-0.560359142,0.012745226,,-0.896903394,7.10E-06,,-0.973712956,1.29E-06,,-1.036488849,1.29E-07,Down,-1.239559627,5.08E-10,Down
Os01g0102850,NA,None,0.511685263,0.606324736,,0.337777475,0.69974308,,0.226368898,0.811196858,,0.121505293,0.8978284,,0.598394987,0.446345919,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.509165055,0.380588566,,-0.778397097,0.100421312,,-1.029986481,0.030401367,Down,-0.91308675,0.044804155,,-1.917110393,6.21E-05,Down
Os01g0103600,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'],LOC_Os01g01369,0.073027007,0.779478277,,-0.54753925,0.00098871,,-1.071490881,3.41E-11,Down,-1.393405669,8.73E-19,Down,-1.006161302,5.18E-10,Down
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,-0.497185186,0.118012745,,-1.168990368,8.78E-06,Down,-1.153773259,2.20E-05,Down,-1.390656154,8.19E-08,Down,-1.650926238,2.27E-09,Down
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-0.549690182,0.558521789,,-0.071177657,0.937117501,,-0.736125364,0.354527718,,-0.242597322,0.770526464,,-0.978589543,0.193532868,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,0.562494419,0.024993369,,0.857495421,7.72E-05,,0.737919504,0.001008359,,0.557308819,0.01364316,,0.068650402,0.815687986,
Os01g0104200,['development.unspecified'],LOC_Os01g01430,0.783261101,0.453684009,,2.544431151,0.000685282,Up,2.608537829,0.000489975,Up,2.93099211,6.05E-05,Up,1.84767923,0.015732139,Up
Os01g0104350,NA,None,0.69675764,0.253873461,,1.562236744,0.000659948,Up,1.877551543,3.38E-05,Up,1.725904855,0.000110159,Up,1.8014929,6.83E-05,Up
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,0.22190787,0.435497845,,0.724405352,0.000480103,,1.386540427,1.65E-12,Up,1.356574952,3.92E-12,Up,1.016705736,3.38E-07,Up
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-0.766742377,0.001050318,,-0.356058099,0.137917388,,0.045135227,0.882354692,,0.182193622,0.475275046,,-0.482979143,0.03485904,
Os01g0104900,"['secondary metabolism.phenylpropanoids', 'stress.biotic']",LOC_Os01g01520,-0.484206824,0.197228077,,-0.825069561,0.007960413,,-0.096418654,0.813843259,,0.179088972,0.632213011,,-0.031534148,0.937218306,
Os01g0105400,['not assigned.unknown'],LOC_Os01g01570,-0.213833797,0.613480074,,-0.850030862,0.004165339,,-0.994140798,0.001034792,,-1.040987271,0.000304017,Down,-1.247069332,3.45E-05,Down
Os01g0105800,['Co-factor and vitamine metabolism.iron-sulphur clusters'],LOC_Os01g01610,1.807334483,0.011546232,Up,3.046177648,3.66E-07,Up,3.844074435,5.31E-11,Up,3.722734864,1.28E-10,Up,4.417237052,1.32E-14,Up
Os01g0105900,['minor CHO metabolism.others'],LOC_Os01g01620,0.486576665,0.022146629,,0.244028958,0.263643885,,-0.744443826,0.000125847,,-1.22798439,3.27E-11,Down,-1.157316705,1.28E-09,Down
Os01g0106300,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,0.362746986,0.796018354,,0.636133231,0.552457132,,-1.274409703,0.257314915,,-1.833738875,0.07412887,,-0.992738259,0.359089013,
Os01g0106400,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01660,3.710615258,1.30E-19,Up,5.157451411,3.36E-39,Up,3.399735669,1.57E-16,Up,3.373926554,9.35E-17,Up,3.942234443,1.88E-22,Up
Os01g0106500,['not assigned.unknown'],LOC_Os01g01670,0.015574349,0.981627036,,0.028605661,0.953779097,,-0.318302592,0.466444315,,-0.540352949,0.163149598,,-0.481653226,0.227260146,
Os01g0106600,['not assigned.unknown'],LOC_Os01g01680,0.239886447,0.786523599,,1.275902029,0.020694933,Up,0.833642492,0.171582484,,0.625090618,0.304644841,,0.53847864,0.394372737,
Os01g0106750,['protein.postranslational modification.kinase'],LOC_Os01g01689,-0.184755294,0.783967349,,-0.178500948,0.746016694,,0.298613415,0.568444752,,0.30548297,0.536541907,,0.457456027,0.325365916,
Os01g0106900,['secondary metabolism.isoprenoids.non-mevalonate pathway.DXR'],LOC_Os01g01710,0.19883325,0.744193716,,-0.81837983,0.052362507,,-0.945710744,0.023673159,,-0.986886476,0.014948486,,-0.517726619,0.230704224,
Os01g0107000,['protein.targeting.peroxisomes'],LOC_Os01g01720,0.440316232,0.100638862,,0.415441763,0.086401823,,0.710001229,0.001742695,,0.583740622,0.009857575,,0.422396813,0.077153479,
Os01g0107400,['protein.postranslational modification'],LOC_Os01g01740,-1.438155024,0.006318643,Down,-2.005748603,3.51E-05,Down,-2.035133865,6.79E-05,Down,-2.16493694,6.51E-06,Down,-3.097791768,4.54E-08,Down
Os01g0107900,['not assigned.unknown'],LOC_Os01g01790,0.047442791,0.89842217,,0.512646035,0.018631607,,0.629622108,0.00313524,,0.535824994,0.011975188,,1.033366156,2.51E-07,Up
Os01g0108000,['not assigned.unknown'],LOC_Os01g01800,0.241345779,0.441486461,,0.99009641,6.66E-06,,1.061534052,1.38E-06,Up,1.07424466,6.80E-07,Up,1.659411049,3.64E-15,Up
Os01g0108800,['not assigned.unknown'],LOC_Os01g01890,-0.626624108,0.251333961,,-2.161075356,1.05E-06,Down,-3.31555525,5.83E-10,Down,-2.861835985,3.26E-10,Down,-3.688354108,8.37E-11,Down
Os01g0109700,['RNA.regulation of transcription.unclassified'],LOC_Os01g01960,1.053506618,1.21E-06,Up,1.309970747,2.94E-10,Up,1.001253001,2.42E-06,Up,1.003932885,1.91E-06,Up,0.979514903,3.16E-06,
Os01g0109750,['not assigned.unknown'],LOC_Os01g01970,-0.492151551,0.378781626,,-1.454371421,0.000799587,Down,-1.483675543,0.001095038,Down,-1.608173043,0.000164744,Down,-1.300477266,0.003770887,Down
Os01g0110100,['transport.phosphate'],LOC_Os01g02000,0.487694309,0.377228488,,-1.489467399,0.000881309,Down,0.396715525,0.427583318,,0.083260785,0.885182313,,-1.590075176,0.000762546,Down
Os01g0110200,['not assigned.unknown'],LOC_Os01g02010,0.27408443,0.749387188,,-0.541514499,0.416009071,,-0.940916853,0.137045198,,-1.721949015,0.003025288,Down,-0.238486938,0.730118033,
Os01g0110400,['secondary metabolism.isoprenoids.mevalonate pathway.acetyl-CoA C-acyltransferase'],LOC_Os01g02020,1.763533221,2.24E-25,Up,2.783815601,1.13E-64,Up,2.911111249,2.03E-70,Up,2.898621312,2.37E-70,Up,3.171463473,1.00E-83,Up
Os01g0110500,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g02040,0.303090046,0.617559317,,0.221904271,0.674302046,,-0.342261531,0.521937668,,-0.349360562,0.48210783,,-0.611401474,0.206607166,
Os01g0111100,['cell.cycle.peptidylprolyl isomerase'],LOC_Os01g02080,-1.06978011,0.365381748,,-2.641167027,0.008068669,Down,-2.197177024,0.036381059,Down,-1.811549476,0.057505418,,-3.085038887,0.006451337,Down
Os01g0111300,NA,None,-0.318471221,0.526864022,,0.209359468,0.635719414,,0.095014134,0.843904149,,-0.056911704,0.907481382,,-0.354536134,0.383433096,
Os01g0111500,"['RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family']",LOC_Os01g02110,-1.52537464,0.023113732,Down,-1.322901981,0.030887431,Down,-1.985837606,0.002154042,Down,-1.502581715,0.011893658,Down,-1.79811294,0.004578618,Down
Os01g0111900,['not assigned.unknown'],LOC_Os01g02150,0.219091628,0.576827023,,0.246569245,0.449701756,,0.367044918,0.232147002,,0.070959709,0.846571991,,-0.105808497,0.754759514,
Os01g0112000,['not assigned.unknown'],LOC_Os01g02160,0.898150775,0.145110777,,2.182461839,3.26E-06,Up,1.615778444,0.001232161,Up,1.065059755,0.039327415,Up,1.438447433,0.00432833,Up
Os01g0112500,['protein.degradation.ubiquitin.E3.RING'],LOC_Os01g02200,2.011409839,2.92E-38,Up,1.638309247,8.12E-26,Up,1.744440221,6.27E-29,Up,1.730641882,5.71E-29,Up,2.629904832,3.65E-66,Up
Os01g0113200,['signalling.receptor kinases.misc'],LOC_Os01g02290,-1.47764981,0.002753466,Down,-1.576141531,0.000541985,Down,-1.20304488,0.01205246,Down,-1.725937517,0.000122176,Down,-0.963162147,0.041976617,
Os01g0113350,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g02310,-1.659555901,0.089511828,,-0.827499893,0.353449174,,0.425397969,0.648781707,,0.655691794,0.431802395,,0.054587203,0.956613895,
Os01g0114100,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os01g02390,1.383263885,0.144237146,,3.011979432,2.63E-05,Up,2.976637448,4.40E-05,Up,2.835861166,7.39E-05,Up,3.504497605,6.14E-07,Up
Os01g0114300,"['protein.postranslational modification', 'signalling.receptor kinases.S-locus glycoprotein like', 'signalling.receptor kinases.misc']",LOC_Os01g02400,-0.616954311,0.272547039,,-0.502094871,0.31300047,,-0.006902888,0.991155233,,0.085528268,0.881752588,,1.26688651,0.001835622,Up
Os01g0114550,NA,None,0.244285852,0.893836298,,0.160213422,0.912907914,,0.188993348,0.900184556,,-0.332667321,0.815630797,,-1.244238242,0.362319087,
Os01g0115300,NA,None,-0.367307424,0.612160978,,-0.535241296,0.352137189,,-0.005265316,0.994322697,,0.412477649,0.461755738,,0.772856592,0.12717873,
Os01g0115800,['not assigned.unknown'],LOC_Os01g02590,-2.757781258,0.03827574,Down,-2.450012342,0.035201429,Down,-1.542931317,0.203160351,,-0.409095217,0.74466199,,-0.588702439,0.625958075,
Os01g0115900,['signalling.receptor kinases.misc'],LOC_Os01g02600,-1.245191998,0.431306525,,-6.774593413,0.000417277,Down,-3.07950973,0.0402821,Down,-2.76047849,0.034003949,Down,-3.616328911,0.022354275,Down
Os01g0118000,['PS.calvin cycle.aldolase'],LOC_Os01g02880,-0.690633591,0.000905937,,-0.989935424,2.32E-07,,-0.809949233,3.62E-05,,-0.838768395,1.18E-05,,-0.945118397,1.04E-06,
Os01g0118300,['lipid metabolism.Phospholipid synthesis'],LOC_Os01g02890,0.238580082,0.746097363,,-0.063968743,0.923431275,,-0.691401132,0.224314131,,-2.193357188,2.99E-05,Down,-2.278909615,0.000115914,Down
Os01g0118400,['not assigned.unknown'],LOC_Os01g02900,0.755399132,0.002399904,,1.276064772,9.36E-09,Up,-0.302607232,0.27037281,,-0.502196345,0.042705374,,-1.182736524,8.60E-07,Down
Os01g0118600,['not assigned.unknown'],LOC_Os01g02910,0.124845534,0.858124371,,0.226424826,0.668401498,,-0.511946751,0.312892589,,-0.713069887,0.118276008,,-1.133206653,0.016716832,Down
Os01g0118700,['not assigned.unknown'],LOC_Os01g02920,1.588272204,7.96E-16,Up,2.574326367,4.70E-42,Up,1.985732067,5.94E-25,Up,1.626162235,3.92E-17,Up,1.112717686,2.61E-08,Up
Os01g0119000,['not assigned.unknown'],LOC_Os01g02930,-0.073882669,0.897013655,,0.938053612,0.002670971,,1.512342584,3.61E-07,Up,2.016371452,9.85E-13,Up,1.712979899,4.35E-09,Up
Os01g0119050,NA,LOC_Os01g02940,0.393408884,0.664312176,,-0.759001743,0.289530157,,-0.871593315,0.230617267,,-2.142346111,0.001345649,Down,-2.291859739,0.001872734,Down
Os01g0119100,['not assigned.unknown'],LOC_Os01g02940,0.220926586,0.530533474,,-0.82443745,0.001261108,,-1.077870441,3.29E-05,Down,-2.185234744,8.95E-18,Down,-2.882430465,5.56E-22,Down
Os01g0119500,['not assigned.unknown'],LOC_Os01g02960,-0.706163141,0.038120529,,-0.752627356,0.014113386,,-0.711733146,0.024515771,,-0.821165875,0.006008191,,-0.835829439,0.006685431,
Os01g0120400,['protein.aa activation.alanine-tRNA ligase'],LOC_Os01g03030,1.089105596,0.000301034,Up,2.068343634,1.29E-14,Up,0.911937813,0.002088559,,0.784795471,0.007658763,,0.432365445,0.180505212,
Os01g0120600,['PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase'],LOC_Os01g03050,0.497601859,0.232192498,,1.061540423,0.000975296,Up,0.969683655,0.003454987,,0.972008885,0.002474374,,0.915614934,0.005490534,
Os01g0120700,['not assigned.unknown'],LOC_Os01g03060,0.28494572,0.478341424,,0.29334215,0.3950585,,-0.194405605,0.597445546,,-0.122214015,0.746866326,,1.198831942,1.82E-05,Up
Os01g0120800,['protein.synthesis.initiation'],LOC_Os01g03070,-0.309723018,0.095173856,,0.008067008,0.970620296,,0.138690882,0.462851892,,0.206701687,0.232539238,,-0.269261039,0.104160799,
Os01g0121200,['protein.degradation.ubiquitin.E3.RING'],LOC_Os01g03100,-0.596769059,0.133398835,,0.851518415,0.006343193,,1.097600136,0.000322048,Up,0.7056474,0.025037534,,-0.425822473,0.244952824,
Os01g0121300,['not assigned.unknown'],LOC_Os01g03110,0.085308274,0.933909697,,-1.861602076,0.003938849,Down,-1.189584846,0.082950543,,-0.808697583,0.211028283,,-0.234466259,0.750331555,
Os01g0121500,['not assigned.unknown'],LOC_Os01g03130,1.597502191,0.026156801,Up,2.183572721,0.000436942,Up,1.624701936,0.015295498,Up,1.187235767,0.080447878,,1.842552056,0.004126376,Up
Os01g0121700,['transport.ABC transporters and multidrug resistance systems'],LOC_Os01g03144,0.43048957,0.179690141,,0.261147125,0.397834462,,-0.260497176,0.409924594,,-0.452312943,0.108302043,,0.244079309,0.412137578,
Os01g0124100,['not assigned.unknown'],LOC_Os01g03330,1.442042379,5.46E-13,Up,1.676199764,5.71E-18,Up,0.423452747,0.06515482,,0.539619645,0.011977936,,1.315046414,3.46E-11,Up
Os01g0124200,['not assigned.unknown'],LOC_Os01g03340,1.895512749,1.05E-35,Up,2.407147139,8.64E-58,Up,1.625535434,1.34E-26,Up,1.271053022,1.15E-16,Up,1.328014691,4.11E-18,Up
Os01g0124401,['not assigned.unknown'],LOC_Os01g03360,1.402095638,1.74E-13,Up,2.330576212,5.69E-37,Up,2.266914874,6.20E-35,Up,2.149430406,1.29E-31,Up,2.296006963,5.58E-36,Up
Os01g0124650,['not assigned.unknown'],LOC_Os01g03390,2.419930997,3.51E-08,Up,4.127252106,7.38E-25,Up,5.060136986,2.49E-37,Up,5.391841367,8.96E-43,Up,5.42857184,3.93E-43,Up
Os01g0125600,['transport.metal'],LOC_Os01g03490,-0.650621062,0.065172899,,-1.900593986,1.84E-10,Down,-2.947105451,3.01E-19,Down,-3.10631368,1.35E-23,Down,-3.227657011,2.63E-21,Down
Os01g0125900,['protein.degradation.ubiquitin'],LOC_Os01g03520,0.547928956,0.03523356,,1.067534935,1.49E-06,Up,0.923153075,4.20E-05,,0.911910688,4.38E-05,,0.824626885,0.000243244,
Os01g0126100,['not assigned.unknown'],LOC_Os01g03530,-1.988805465,0.004644265,Down,-1.758238309,0.006335416,Down,-1.622138643,0.016421821,Down,-0.97746961,0.132687601,,0.520890857,0.436289802,
Os01g0127000,['not assigned.unknown'],LOC_Os01g03630,-0.056752131,0.965021158,,-0.33872781,0.715172608,,-1.367326882,0.100276888,,-1.631687763,0.035098003,Down,-2.183137032,0.009111926,Down
Os01g0127400,['not assigned.unknown'],LOC_Os01g03660,-0.800505152,0.430554589,,-1.245150181,0.133786645,,-1.382864454,0.110786332,,-2.007578746,0.012664202,Down,-2.110121827,0.016067468,Down
Os01g0127600,['not assigned.unknown'],LOC_Os01g03680,-0.496047213,0.071954067,,-1.037611507,7.32E-06,Down,-1.932197112,1.54E-17,Down,-2.644823674,3.90E-32,Down,-3.322085805,3.82E-45,Down
Os01g0127700,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os01g03690,-0.285238313,0.788386501,,-1.223723149,0.105114742,,-1.153253656,0.150205504,,-1.087198837,0.141340423,,-0.187455015,0.828342403,
Os01g0127900,['cell wall.precursor synthesis.phosphomannose isomerase'],LOC_Os01g03710,0.121920588,0.846598475,,0.292765895,0.524451315,,-0.024283917,0.964946073,,-0.103107497,0.839437318,,0.050576085,0.920859248,
Os01g0128000,['RNA.regulation of transcription.MYB domain transcription factor family'],LOC_Os01g03720,-0.310671335,0.752836968,,1.246353361,0.037155691,Up,1.818181988,0.001393143,Up,2.194494093,4.20E-05,Up,2.617144446,8.33E-07,Up
Os01g0128100,['DNA.synthesis/chromatin structure'],LOC_Os01g03740,1.657433892,0.211451887,,-1.326982219,0.338756625,,-1.689592122,0.262886527,,-3.670427212,0.024157976,Down,-1.699049598,0.240964539,
Os01g0128200,['DNA.synthesis/chromatin structure'],LOC_Os01g03730,0.169265541,0.811362458,,3.239973009,1.67E-20,Up,4.037491673,9.67E-32,Up,4.290794928,1.43E-36,Up,3.433713908,1.26E-22,Up
Os01g0128250,NA,None,2.339894935,0.200775921,,3.108817508,0.039605657,Up,3.922881348,0.006966032,Up,3.403075131,0.019500327,Up,3.795881217,0.008087916,Up
Os01g0128300,['not assigned.unknown'],LOC_Os01g03750,1.420996557,8.93E-05,Up,0.409571262,0.334156347,,-0.138200413,0.791319271,,-0.357309249,0.415514001,,0.74107646,0.051988655,
Os01g0128700,['not assigned.unknown'],LOC_Os01g03810,0.361759819,0.703007878,,-0.090632518,0.917448959,,0.311981885,0.702668954,,0.122665769,0.885915642,,-0.353407196,0.65629005,
Os01g0128800,['not assigned.unknown'],LOC_Os01g03820,-0.396040313,0.145835897,,-0.848474154,0.000141525,,-0.69197706,0.002637306,,-0.671232737,0.002756269,,-0.609635674,0.007767384,
Os01g0129500,['protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L34'],LOC_Os01g03870,0.258472159,0.674878433,,1.415633996,0.000181918,Up,3.13445384,1.45E-19,Up,3.393463208,2.39E-23,Up,3.852352511,9.57E-30,Up
Os01g0129600,"['RNA.regulation of transcription.AS2,Lateral Organ Boundaries Gene Family']",LOC_Os01g03890,1.697097441,2.47E-05,Up,1.804640976,2.41E-06,Up,0.206219958,0.71003144,,0.271745706,0.591688579,,2.107193776,2.35E-08,Up
Os01g0130000,['transport.metal'],LOC_Os01g03914,-0.19864163,0.463645622,,0.308845135,0.15196073,,0.648453576,0.000875992,,0.325995461,0.117951771,,-0.035265822,0.890691458,
Os01g0130400,"['misc.gluco-, galacto- and mannosidases.alpha-galactosidase']",LOC_Os01g03950,-0.183613291,0.783816508,,-1.506536752,0.000540374,Down,-2.074915986,5.15E-06,Down,-3.265555148,1.16E-12,Down,-4.105969565,1.71E-12,Down
Os01g0130900,['not assigned.unknown'],LOC_Os01g03980,0.241064802,0.897508888,,-1.268096275,0.340100043,,-1.625241649,0.249825457,,-1.771124385,0.165406536,,-2.392881531,0.10055153,
Os01g0131300,['not assigned.unknown'],LOC_Os01g04010,1.6882162,1.75E-23,Up,1.71670397,7.61E-25,Up,1.355336655,2.18E-15,Up,1.144374386,1.94E-11,Up,1.110327393,1.61E-10,Up
Os01g0131450,NA,None,0.086344796,0.842158724,,0.381683455,0.184878026,,0.045863385,0.902648429,,-0.171846632,0.595395137,,0.337478793,0.241211792,
Os01g0131600,"['hormone metabolism.ethylene.signal transduction', 'RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os01g04020,0.30932306,0.772313378,,0.105053216,0.911235979,,0.308031799,0.733022157,,-0.335529711,0.702227557,,0.028622864,0.975492421,
Os01g0131800,['protein.targeting.secretory pathway.unspecified'],LOC_Os01g04030,-0.961691142,0.009681853,,-0.630375674,0.075986693,,-0.242499858,0.556756984,,-0.120555534,0.777505996,,-0.368288429,0.323647603,
Os01g0132000,['not assigned.unknown'],LOC_Os01g04050,1.781590939,8.20E-06,Up,1.209909346,0.002739907,Up,1.672394454,1.80E-05,Up,2.020536287,9.47E-08,Up,1.090594885,0.006972433,Up
Os01g0132500,['not assigned.unknown'],LOC_Os01g04100,0.18569396,0.772244935,,0.244856705,0.629844062,,-0.823936253,0.09197539,,-0.051568738,0.928701229,,1.700048528,5.40E-06,Up
Os01g0132766,['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os01g04120,1.404675937,3.27E-08,Up,1.131686015,7.70E-06,Up,0.906200198,0.000514346,,1.149649105,4.43E-06,Up,1.012021829,7.07E-05,Up
Os01g0133100,['not assigned.unknown'],LOC_Os01g04160,-0.098329555,0.838577284,,0.389440612,0.230828483,,0.541753111,0.081968435,,-0.171409142,0.637251327,,-0.627403992,0.048638556,
Os01g0133200,['not assigned.unknown'],LOC_Os01g04170,-0.448119317,0.62522741,,-2.972950346,1.70E-05,Down,-4.378741828,5.66E-06,Down,-2.786436312,3.46E-05,Down,-4.000348971,5.58E-06,Down
Os01g0133400,['transport.sugars'],LOC_Os01g04190,0.121221083,0.644903393,,0.299335201,0.120859899,,0.230207174,0.25256244,,-0.082224373,0.717485184,,-0.271763904,0.153702508,
Os01g0133500,['not assigned.unknown'],LOC_Os01g04200,0.79027541,4.50E-05,,1.129193598,2.19E-10,Up,1.359552255,1.61E-14,Up,1.289480875,1.61E-13,Up,1.552014315,8.35E-19,Up
Os01g0134500,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF7'],LOC_Os01g04260,-0.370390673,0.214748434,,-0.25353143,0.362078799,,-0.301814831,0.269818526,,-0.061460624,0.846756412,,-0.485454452,0.051826648,
Os01g0134900,['cell wall.degradation.mannan-xylose-arabinose-fucose'],LOC_Os01g04300,0.97124911,0.000657527,,0.75449675,0.006955788,,0.657871073,0.021897672,,0.148883603,0.669526279,,-0.34787956,0.264520713,
Os01g0135600,['not assigned.unknown'],LOC_Os01g04324,-1.956529894,0.20476982,,-3.979668694,0.006271893,Down,-6.455220268,0.001002472,Down,-4.106659827,0.004587539,Down,-2.76262895,0.048856798,Down
Os01g0136400,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g04409,0.557530405,0.019880429,,0.922312087,8.78E-06,,0.845735721,6.13E-05,,0.618723256,0.00390337,,1.350410113,1.83E-11,Up
Os01g0136450,NA,None,0.153557381,0.861993415,,0.335525026,0.602814448,,0.481074402,0.444945105,,0.321019174,0.612068972,,2.437034753,1.49E-07,Up
Os01g0136500,NA,None,0.78399532,0.111367886,,1.452779633,0.000272935,Up,1.234646995,0.002842098,Up,0.884208958,0.036092898,,1.926730057,6.07E-07,Up
Os01g0136700,['signalling.receptor kinases.wheat LRK10 like'],LOC_Os01g04440,-0.171076909,0.912976152,,-1.278333827,0.21242425,,-5.337828948,0.002777149,Down,-2.753322993,0.005803913,Down,-0.314710442,0.779185655,
Os01g0136800,"['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.misc']",LOC_Os01g04450,-0.395364034,0.716050052,,-0.077981936,0.936713402,,0.297253159,0.745458408,,-0.705337714,0.386730471,,-0.298025723,0.737403392,
Os01g0138500,['not assigned.unknown'],LOC_Os01g04590,5.445771811,5.90E-56,Up,2.146498617,1.12E-08,Up,-0.155255406,0.819461371,,-1.166221365,0.027315526,Down,-1.586778973,0.016852921,Down
Os01g0138800,['not assigned.unknown'],LOC_Os01g04620,3.569073895,2.79E-51,Up,2.870499158,2.56E-33,Up,2.607532806,7.71E-27,Up,3.101991635,3.00E-39,Up,4.187941015,1.55E-71,Up
Os01g0138900,['misc.misc2'],LOC_Os01g04630,-0.769314161,0.000339885,,-2.386623005,3.97E-33,Down,-2.789207454,1.56E-40,Down,-2.871663316,3.43E-46,Down,-2.204176692,3.90E-27,Down
Os01g0139000,"['stress.biotic', 'protein.targeting.secretory pathway.plasma membrane']",LOC_Os01g04640,0.44198074,0.599749581,,0.262431791,0.726700658,,-0.597087526,0.421210884,,-0.588393466,0.392550035,,-0.932950271,0.179157984,
Os01g0139200,['protein.postranslational modification'],LOC_Os01g04650,-0.151772509,0.583897105,,0.058215089,0.820192202,,0.275424592,0.19725687,,0.47763217,0.013916287,,-0.06308469,0.793513711,
Os01g0139600,['misc.acid and other phosphatases'],LOC_Os01g04660,0.598628552,0.561877586,,0.905917212,0.255506155,,1.304828723,0.085897726,,1.194046055,0.103738536,,2.956206373,4.10E-06,Up
Os01g0139700,['not assigned.unknown'],LOC_Os01g04670,1.090374694,0.428718624,,1.390416485,0.216358795,,0.141626632,0.928152889,,0.969884226,0.408229994,,0.629095492,0.62128979,
Os01g0139900,['not assigned.unknown'],LOC_Os01g04690,0.5158552,0.823613773,,-0.949042074,0.618459044,,-1.770694982,0.392567105,,-2.087076722,0.257268031,,-0.367877781,0.850024036,
Os01g0140100,['protein.degradation.aspartate protease'],LOC_Os01g04710,-0.739983197,0.111857606,,-1.332109406,0.000735475,Down,-1.863944967,7.29E-06,Down,-2.646063509,6.54E-11,Down,-2.859929615,4.09E-10,Down
