GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
response to alcohol (GO:0097305)	163	37	1.14e+01	+	3.25e+00	8.71e-09	5.66e-07
regulation of response to stimulus (GO:0048583)	293	53	2.05e+01	+	2.59e+00	8.73e-09	5.60e-07
protein localization (GO:0008104)	771	102	5.39e+01	+	1.89e+00	1.49e-08	9.45e-07
positive regulation of biological process (GO:0048518)	705	95	4.93e+01	+	1.93e+00	1.93e-08	1.21e-06
autophagosome organization (GO:1905037)	31	16	2.17e+00	+	7.39e+00	2.26e-08	1.39e-06
response to oxygen-containing compound (GO:1901700)	404	64	2.82e+01	+	2.27e+00	2.58e-08	1.57e-06
protein modification by small protein conjugation (GO:0032446)	781	102	5.46e+01	+	1.87e+00	2.72e-08	1.63e-06
cellular component organization (GO:0016043)	2018	212	1.41e+02	+	1.50e+00	3.58e-08	2.13e-06
response to abscisic acid (GO:0009737)	159	35	1.11e+01	+	3.15e+00	4.19e-08	2.46e-06
response to stress (GO:0006950)	2116	219	1.48e+02	+	1.48e+00	5.65e-08	3.27e-06
establishment of protein localization (GO:0045184)	702	93	4.91e+01	+	1.90e+00	6.09e-08	3.48e-06
protein ubiquitination (GO:0016567)	743	97	5.19e+01	+	1.87e+00	6.23e-08	3.52e-06
protein transport (GO:0015031)	696	92	4.86e+01	+	1.89e+00	8.03e-08	4.49e-06
nucleoside phosphate metabolic process (GO:0006753)	309	52	2.16e+01	+	2.41e+00	8.49e-08	4.69e-06
autophagosome assembly (GO:0000045)	30	15	2.10e+00	+	7.15e+00	8.57e-08	4.68e-06
nucleotide metabolic process (GO:0009117)	292	50	2.04e+01	+	2.45e+00	1.11e-07	6.01e-06
positive regulation of cellular process (GO:0048522)	599	82	4.19e+01	+	1.96e+00	1.15e-07	6.14e-06
ion transmembrane transport (GO:0034220)	530	75	3.70e+01	+	2.02e+00	1.21e-07	6.38e-06
small molecule catabolic process (GO:0044282)	184	37	1.29e+01	+	2.88e+00	1.30e-07	6.77e-06
positive regulation of metabolic process (GO:0009893)	551	77	3.85e+01	+	2.00e+00	1.32e-07	6.85e-06
positive regulation of cellular metabolic process (GO:0031325)	521	74	3.64e+01	+	2.03e+00	1.50e-07	7.69e-06
response to lipid (GO:0033993)	250	45	1.75e+01	+	2.58e+00	1.51e-07	7.63e-06
cellular macromolecule localization (GO:0070727)	574	79	4.01e+01	+	1.97e+00	1.52e-07	7.60e-06
ion transport (GO:0006811)	635	85	4.44e+01	+	1.92e+00	1.70e-07	8.41e-06
cellular response to organic substance (GO:0071310)	460	67	3.21e+01	+	2.08e+00	1.89e-07	9.28e-06
response to hormone (GO:0009725)	589	80	4.12e+01	+	1.94e+00	2.15e-07	1.04e-05
cation transport (GO:0006812)	415	62	2.90e+01	+	2.14e+00	3.07e-07	1.48e-05
positive regulation of macromolecule metabolic process (GO:0010604)	534	74	3.73e+01	+	1.98e+00	3.26e-07	1.55e-05
response to endogenous stimulus (GO:0009719)	596	80	4.16e+01	+	1.92e+00	3.82e-07	1.80e-05
lipid metabolic process (GO:0006629)	951	113	6.65e+01	+	1.70e+00	4.26e-07	1.99e-05
response to abiotic stimulus (GO:0009628)	527	73	3.68e+01	+	1.98e+00	4.27e-07	1.98e-05
ribose phosphate metabolic process (GO:0019693)	245	43	1.71e+01	+	2.51e+00	4.37e-07	2.00e-05
organelle disassembly (GO:1903008)	30	14	2.10e+00	+	6.68e+00	4.43e-07	2.01e-05
cellular localization (GO:0051641)	834	102	5.83e+01	+	1.75e+00	4.44e-07	1.99e-05
regulation of protein metabolic process (GO:0051246)	532	73	3.72e+01	+	1.96e+00	4.88e-07	2.17e-05
response to temperature stimulus (GO:0009266)	192	37	1.34e+01	+	2.76e+00	5.09e-07	2.25e-05
ribonucleotide metabolic process (GO:0009259)	237	42	1.66e+01	+	2.54e+00	5.24e-07	2.29e-05
cation transmembrane transport (GO:0098655)	386	58	2.70e+01	+	2.15e+00	5.52e-07	2.39e-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	524	72	3.66e+01	+	1.97e+00	6.13e-07	2.63e-05
response to external stimulus (GO:0009605)	455	65	3.18e+01	+	2.04e+00	6.28e-07	2.67e-05
purine-containing compound metabolic process (GO:0072521)	241	42	1.68e+01	+	2.49e+00	6.83e-07	2.88e-05
autophagy of nucleus (GO:0044804)	17	11	1.19e+00	+	9.26e+00	6.88e-07	2.88e-05
inorganic ion transmembrane transport (GO:0098660)	362	55	2.53e+01	+	2.17e+00	7.25e-07	3.00e-05
cellular response to stress (GO:0033554)	611	80	4.27e+01	+	1.87e+00	7.88e-07	3.24e-05
vacuole organization (GO:0007033)	49	17	3.42e+00	+	4.96e+00	7.89e-07	3.22e-05
cellular component disassembly (GO:0022411)	82	22	5.73e+00	+	3.84e+00	8.23e-07	3.33e-05
inorganic cation transmembrane transport (GO:0098662)	324	51	2.26e+01	+	2.25e+00	8.24e-07	3.30e-05
cellular lipid metabolic process (GO:0044255)	676	86	4.72e+01	+	1.82e+00	8.56e-07	3.40e-05
regulation of response to stress (GO:0080134)	151	31	1.06e+01	+	2.94e+00	8.89e-07	3.51e-05
cellular protein localization (GO:0034613)	564	75	3.94e+01	+	1.90e+00	1.01e-06	3.94e-05
cell communication (GO:0007154)	1228	136	8.58e+01	+	1.58e+00	1.15e-06	4.46e-05
carbohydrate metabolic process (GO:0005975)	1036	118	7.24e+01	+	1.63e+00	1.64e-06	6.29e-05
cellular component assembly (GO:0022607)	636	81	4.44e+01	+	1.82e+00	1.86e-06	7.10e-05
mitochondrion disassembly (GO:0061726)	20	11	1.40e+00	+	7.87e+00	2.26e-06	8.55e-05
autophagy of mitochondrion (GO:0000422)	20	11	1.40e+00	+	7.87e+00	2.26e-06	8.48e-05
regulation of cellular protein metabolic process (GO:0032268)	506	68	3.54e+01	+	1.92e+00	2.28e-06	8.49e-05
signal transduction (GO:0007165)	1050	118	7.34e+01	+	1.61e+00	2.63e-06	9.71e-05
purine nucleotide metabolic process (GO:0006163)	220	38	1.54e+01	+	2.47e+00	2.86e-06	1.05e-04
cellular response to chemical stimulus (GO:0070887)	727	88	5.08e+01	+	1.73e+00	4.04e-06	1.47e-04
heterocycle catabolic process (GO:0046700)	203	36	1.42e+01	+	2.54e+00	4.21e-06	1.52e-04
response to topologically incorrect protein (GO:0035966)	57	17	3.98e+00	+	4.27e+00	4.36e-06	1.57e-04
generation of precursor metabolites and energy (GO:0006091)	444	61	3.10e+01	+	1.97e+00	4.48e-06	1.59e-04
cellular nitrogen compound catabolic process (GO:0044270)	205	36	1.43e+01	+	2.51e+00	4.56e-06	1.61e-04
signaling (GO:0023052)	1065	118	7.44e+01	+	1.59e+00	5.31e-06	1.86e-04
energy derivation by oxidation of organic compounds (GO:0015980)	150	29	1.05e+01	+	2.77e+00	5.49e-06	1.91e-04
intracellular transport (GO:0046907)	679	83	4.75e+01	+	1.75e+00	5.53e-06	1.91e-04
purine ribonucleotide metabolic process (GO:0009150)	210	36	1.47e+01	+	2.45e+00	6.05e-06	2.08e-04
response to external biotic stimulus (GO:0043207)	321	48	2.24e+01	+	2.14e+00	6.12e-06	2.09e-04
response to other organism (GO:0051707)	321	48	2.24e+01	+	2.14e+00	6.12e-06	2.07e-04
vesicle-mediated transport (GO:0016192)	479	64	3.35e+01	+	1.91e+00	6.51e-06	2.19e-04
response to extracellular stimulus (GO:0009991)	73	19	5.10e+00	+	3.72e+00	6.55e-06	2.19e-04
response to nutrient levels (GO:0031667)	66	18	4.61e+00	+	3.90e+00	6.60e-06	2.19e-04
monocarboxylic acid metabolic process (GO:0032787)	376	53	2.63e+01	+	2.02e+00	8.11e-06	2.67e-04
organelle assembly (GO:0070925)	158	30	1.10e+01	+	2.72e+00	8.20e-06	2.68e-04
organelle organization (GO:0006996)	1306	138	9.13e+01	+	1.51e+00	8.40e-06	2.73e-04
response to endoplasmic reticulum stress (GO:0034976)	82	20	5.73e+00	+	3.49e+00	8.65e-06	2.79e-04
tricarboxylic acid cycle (GO:0006099)	54	16	3.77e+00	+	4.24e+00	8.87e-06	2.84e-04
response to osmotic stress (GO:0006970)	113	24	7.90e+00	+	3.04e+00	8.89e-06	2.83e-04
response to biotic stimulus (GO:0009607)	348	50	2.43e+01	+	2.06e+00	9.26e-06	2.93e-04
cellular response to topologically incorrect protein (GO:0035967)	55	16	3.84e+00	+	4.16e+00	1.08e-05	3.38e-04
biological process involved in interspecies interaction between organisms (GO:0044419)	358	51	2.50e+01	+	2.04e+00	1.14e-05	3.55e-04
response to cold (GO:0009409)	92	21	6.43e+00	+	3.27e+00	1.24e-05	3.86e-04
cellular amino acid metabolic process (GO:0006520)	400	55	2.80e+01	+	1.97e+00	1.37e-05	4.21e-04
response to fungus (GO:0009620)	78	19	5.45e+00	+	3.49e+00	1.46e-05	4.47e-04
establishment of localization in cell (GO:0051649)	712	84	4.98e+01	+	1.69e+00	1.72e-05	5.23e-04
organophosphate biosynthetic process (GO:0090407)	374	52	2.61e+01	+	1.99e+00	1.74e-05	5.25e-04
organic cyclic compound catabolic process (GO:1901361)	247	39	1.73e+01	+	2.26e+00	1.74e-05	5.23e-04
positive regulation of RNA metabolic process (GO:0051254)	398	54	2.78e+01	+	1.94e+00	2.04e-05	6.09e-04
aerobic respiration (GO:0009060)	120	24	8.39e+00	+	2.86e+00	2.11e-05	6.26e-04
lipid modification (GO:0030258)	96	21	6.71e+00	+	3.13e+00	2.16e-05	6.37e-04
intracellular signal transduction (GO:0035556)	349	49	2.44e+01	+	2.01e+00	2.26e-05	6.63e-04
nucleobase-containing compound catabolic process (GO:0034655)	172	30	1.20e+01	+	2.50e+00	2.32e-05	6.77e-04
aromatic compound catabolic process (GO:0019439)	242	38	1.69e+01	+	2.25e+00	2.48e-05	7.19e-04
cellular respiration (GO:0045333)	130	25	9.08e+00	+	2.75e+00	2.55e-05	7.34e-04
cellular component organization or biogenesis (GO:0071840)	2333	220	1.63e+02	+	1.35e+00	2.55e-05	7.30e-04
intracellular protein transport (GO:0006886)	487	62	3.40e+01	+	1.82e+00	2.67e-05	7.61e-04
organic hydroxy compound metabolic process (GO:1901615)	256	39	1.79e+01	+	2.18e+00	2.69e-05	7.62e-04
ribosome biogenesis (GO:0042254)	350	6	2.45e+01	-	2.45e-01	3.24e-05	9.10e-04
regulation of cell communication (GO:0010646)	148	27	1.03e+01	+	2.61e+00	3.52e-05	9.84e-04
amino acid transport (GO:0006865)	100	21	6.99e+00	+	3.01e+00	3.64e-05	1.01e-03
vacuolar transport (GO:0007034)	100	21	6.99e+00	+	3.01e+00	3.64e-05	1.01e-03
sulfur compound metabolic process (GO:0006790)	298	43	2.08e+01	+	2.06e+00	3.67e-05	1.01e-03
lipid oxidation (GO:0034440)	48	14	3.35e+00	+	4.17e+00	3.68e-05	1.01e-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	407	54	2.84e+01	+	1.90e+00	3.76e-05	1.02e-03
ribonucleoside diphosphate metabolic process (GO:0009185)	85	19	5.94e+00	+	3.20e+00	4.06e-05	1.10e-03
regulation of catabolic process (GO:0009894)	151	27	1.06e+01	+	2.56e+00	4.39e-05	1.18e-03
negative regulation of biological process (GO:0048519)	712	82	4.98e+01	+	1.65e+00	4.50e-05	1.20e-03
metallo-sulfur cluster assembly (GO:0031163)	30	11	2.10e+00	+	5.25e+00	4.59e-05	1.22e-03
iron-sulfur cluster assembly (GO:0016226)	30	11	2.10e+00	+	5.25e+00	4.59e-05	1.21e-03
late endosome to vacuole transport (GO:0045324)	43	13	3.00e+00	+	4.33e+00	5.09e-05	1.34e-03
monocarboxylic acid catabolic process (GO:0072329)	43	13	3.00e+00	+	4.33e+00	5.09e-05	1.33e-03
response to inorganic substance (GO:0010035)	189	31	1.32e+01	+	2.35e+00	5.15e-05	1.34e-03
purine ribonucleoside diphosphate metabolic process (GO:0009179)	79	18	5.52e+00	+	3.26e+00	5.17e-05	1.34e-03
purine nucleoside diphosphate metabolic process (GO:0009135)	79	18	5.52e+00	+	3.26e+00	5.17e-05	1.33e-03
ncRNA processing (GO:0034470)	385	8	2.69e+01	-	2.97e-01	5.34e-05	1.37e-03
phosphorylation (GO:0016310)	1822	176	1.27e+02	+	1.38e+00	5.46e-05	1.39e-03
regulation of signal transduction (GO:0009966)	144	26	1.01e+01	+	2.58e+00	5.55e-05	1.41e-03
regulation of protein catabolic process (GO:0042176)	72	17	5.03e+00	+	3.38e+00	5.65e-05	1.42e-03
organic acid transport (GO:0015849)	133	25	9.29e+00	+	2.69e+00	5.82e-05	1.46e-03
fatty acid oxidation (GO:0019395)	31	11	2.17e+00	+	5.08e+00	5.85e-05	1.46e-03
regulation of signaling (GO:0023051)	145	26	1.01e+01	+	2.57e+00	5.97e-05	1.48e-03
cellular lipid catabolic process (GO:0044242)	96	20	6.71e+00	+	2.98e+00	6.08e-05	1.50e-03
protein localization to organelle (GO:0033365)	285	41	1.99e+01	+	2.06e+00	6.35e-05	1.56e-03
regulation of proteolysis (GO:0030162)	135	25	9.43e+00	+	2.65e+00	6.38e-05	1.56e-03
aromatic amino acid family biosynthetic process (GO:0009073)	51	14	3.56e+00	+	3.93e+00	6.42e-05	1.56e-03
response to misfolded protein (GO:0051788)	20	9	1.40e+00	+	6.44e+00	6.45e-05	1.56e-03
cellular response to misfolded protein (GO:0071218)	20	9	1.40e+00	+	6.44e+00	6.45e-05	1.55e-03
carboxylic acid catabolic process (GO:0046395)	113	22	7.90e+00	+	2.79e+00	6.47e-05	1.55e-03
positive regulation of response to stimulus (GO:0048584)	81	18	5.66e+00	+	3.18e+00	6.83e-05	1.63e-03
response to starvation (GO:0042594)	59	15	4.12e+00	+	3.64e+00	7.48e-05	1.77e-03
nucleoside diphosphate metabolic process (GO:0009132)	106	21	7.41e+00	+	2.83e+00	7.56e-05	1.78e-03
pyruvate metabolic process (GO:0006090)	98	20	6.85e+00	+	2.92e+00	7.78e-05	1.83e-03
photosynthesis (GO:0015979)	187	1	1.31e+01	-	7.65e-02	8.09e-05	1.89e-03
organophosphate catabolic process (GO:0046434)	67	16	4.68e+00	+	3.42e+00	8.25e-05	1.92e-03
positive regulation of RNA biosynthetic process (GO:1902680)	329	45	2.30e+01	+	1.96e+00	8.26e-05	1.91e-03
positive regulation of transcription, DNA-templated (GO:0045893)	329	45	2.30e+01	+	1.96e+00	8.26e-05	1.90e-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	329	45	2.30e+01	+	1.96e+00	8.26e-05	1.89e-03
purine nucleoside bisphosphate metabolic process (GO:0034032)	60	15	4.19e+00	+	3.58e+00	8.80e-05	2.00e-03
ribonucleoside bisphosphate metabolic process (GO:0033875)	60	15	4.19e+00	+	3.58e+00	8.80e-05	2.00e-03
nucleoside bisphosphate metabolic process (GO:0033865)	60	15	4.19e+00	+	3.58e+00	8.80e-05	1.99e-03
phospholipid metabolic process (GO:0006644)	232	35	1.62e+01	+	2.16e+00	8.87e-05	1.99e-03
fatty acid catabolic process (GO:0009062)	33	11	2.31e+00	+	4.77e+00	9.28e-05	2.08e-03
potassium ion transmembrane transport (GO:0071805)	61	15	4.26e+00	+	3.52e+00	1.03e-04	2.29e-03
carbohydrate catabolic process (GO:0016052)	270	39	1.89e+01	+	2.07e+00	1.06e-04	2.35e-03
ADP metabolic process (GO:0046031)	77	17	5.38e+00	+	3.16e+00	1.15e-04	2.54e-03
ATP generation from ADP (GO:0006757)	77	17	5.38e+00	+	3.16e+00	1.15e-04	2.53e-03
aromatic amino acid family metabolic process (GO:0009072)	77	17	5.38e+00	+	3.16e+00	1.15e-04	2.52e-03
glycolytic process (GO:0006096)	77	17	5.38e+00	+	3.16e+00	1.15e-04	2.51e-03
establishment of protein localization to vacuole (GO:0072666)	62	15	4.33e+00	+	3.46e+00	1.20e-04	2.61e-03
protein localization to vacuole (GO:0072665)	62	15	4.33e+00	+	3.46e+00	1.20e-04	2.59e-03
alpha-amino acid metabolic process (GO:1901605)	247	36	1.73e+01	+	2.09e+00	1.42e-04	3.04e-03
protein dephosphorylation (GO:0006470)	188	30	1.31e+01	+	2.28e+00	1.45e-04	3.10e-03
regulation of catalytic activity (GO:0050790)	528	63	3.69e+01	+	1.71e+00	1.46e-04	3.11e-03
response to salt stress (GO:0009651)	95	19	6.64e+00	+	2.86e+00	1.46e-04	3.10e-03
positive regulation of macromolecule biosynthetic process (GO:0010557)	355	47	2.48e+01	+	1.89e+00	1.47e-04	3.10e-03
fatty acid beta-oxidation (GO:0006635)	29	10	2.03e+00	+	4.93e+00	1.53e-04	3.22e-03
regulation of response to salt stress (GO:1901000)	29	10	2.03e+00	+	4.93e+00	1.53e-04	3.20e-03
metal ion transport (GO:0030001)	220	33	1.54e+01	+	2.15e+00	1.63e-04	3.39e-03
positive regulation of cellular biosynthetic process (GO:0031328)	361	47	2.52e+01	+	1.86e+00	1.69e-04	3.50e-03
cellular response to extracellular stimulus (GO:0031668)	57	14	3.98e+00	+	3.51e+00	1.75e-04	3.62e-03
carbohydrate derivative catabolic process (GO:1901136)	50	13	3.49e+00	+	3.72e+00	1.84e-04	3.77e-03
protein deubiquitination (GO:0016579)	97	19	6.78e+00	+	2.80e+00	1.85e-04	3.78e-03
positive regulation of biosynthetic process (GO:0009891)	364	47	2.54e+01	+	1.85e+00	1.86e-04	3.78e-03
regulation of response to osmotic stress (GO:0047484)	30	10	2.10e+00	+	4.77e+00	1.92e-04	3.90e-03
cellular response to external stimulus (GO:0071496)	58	14	4.05e+00	+	3.45e+00	2.05e-04	4.13e-03
cellular response to nutrient levels (GO:0031669)	51	13	3.56e+00	+	3.65e+00	2.17e-04	4.36e-03
potassium ion transport (GO:0006813)	66	15	4.61e+00	+	3.25e+00	2.17e-04	4.35e-03
regulation of molecular function (GO:0065009)	535	63	3.74e+01	+	1.69e+00	2.22e-04	4.43e-03
lipid catabolic process (GO:0016042)	143	24	9.99e+00	+	2.40e+00	2.44e-04	4.86e-03
organic acid catabolic process (GO:0016054)	123	22	8.60e+00	+	2.56e+00	2.44e-04	4.84e-03
hormone-mediated signaling pathway (GO:0009755)	390	49	2.73e+01	+	1.80e+00	2.87e-04	5.66e-03
organic cyclic compound biosynthetic process (GO:1901362)	847	90	5.92e+01	+	1.52e+00	2.92e-04	5.72e-03
positive regulation of catabolic process (GO:0009896)	126	22	8.81e+00	+	2.50e+00	3.00e-04	5.87e-03
rRNA processing (GO:0006364)	250	4	1.75e+01	-	2.29e-01	3.10e-04	6.03e-03
dephosphorylation (GO:0016311)	372	47	2.60e+01	+	1.81e+00	3.11e-04	6.03e-03
cellular response to nitrogen levels (GO:0043562)	20	8	1.40e+00	+	5.72e+00	3.12e-04	6.04e-03
cellular response to hormone stimulus (GO:0032870)	394	49	2.75e+01	+	1.78e+00	3.17e-04	6.11e-03
indole-containing compound biosynthetic process (GO:0042435)	26	9	1.82e+00	+	4.95e+00	3.18e-04	6.10e-03
nucleoside diphosphate phosphorylation (GO:0006165)	85	17	5.94e+00	+	2.86e+00	3.19e-04	6.09e-03
response to ethylene (GO:0009723)	85	17	5.94e+00	+	2.86e+00	3.19e-04	6.07e-03
response to water deprivation (GO:0009414)	69	15	4.82e+00	+	3.11e+00	3.28e-04	6.21e-03
proton transmembrane transport (GO:1902600)	137	23	9.57e+00	+	2.40e+00	3.28e-04	6.19e-03
regulation of cellular catabolic process (GO:0031329)	128	22	8.94e+00	+	2.46e+00	3.49e-04	6.55e-03
tryptophan biosynthetic process (GO:0000162)	15	7	1.05e+00	+	6.68e+00	3.58e-04	6.71e-03
indolalkylamine biosynthetic process (GO:0046219)	15	7	1.05e+00	+	6.68e+00	3.58e-04	6.68e-03
cellular response to starvation (GO:0009267)	47	12	3.28e+00	+	3.65e+00	3.70e-04	6.87e-03
