GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
protoporphyrinogen IX metabolic process (GO:0046501)	10	6	4.48e-01	+	1.34e+01	3.42e-05	2.00e-03
photosynthesis, light harvesting (GO:0009765)	23	8	1.03e+00	+	7.76e+00	3.68e-05	2.13e-03
establishment of localization (GO:0051234)	2510	158	1.13e+02	+	1.40e+00	4.19e-05	2.40e-03
monosaccharide biosynthetic process (GO:0046364)	40	10	1.79e+00	+	5.58e+00	4.40e-05	2.49e-03
transport (GO:0006810)	2477	156	1.11e+02	+	1.41e+00	4.64e-05	2.60e-03
vitamin biosynthetic process (GO:0009110)	71	13	3.18e+00	+	4.08e+00	5.84e-05	3.23e-03
starch biosynthetic process (GO:0019252)	33	9	1.48e+00	+	6.08e+00	5.97e-05	3.26e-03
photorespiration (GO:0009853)	18	7	8.07e-01	+	8.68e+00	6.43e-05	3.47e-03
vitamin metabolic process (GO:0006766)	83	14	3.72e+00	+	3.76e+00	6.77e-05	3.62e-03
cellular metabolic compound salvage (GO:0043094)	52	11	2.33e+00	+	4.72e+00	6.93e-05	3.66e-03
localization (GO:0051179)	2616	162	1.17e+02	+	1.38e+00	7.20e-05	3.76e-03
regulation of photosynthesis, light reaction (GO:0042548)	12	6	5.38e-01	+	1.12e+01	7.35e-05	3.80e-03
serine family amino acid catabolic process (GO:0009071)	12	6	5.38e-01	+	1.12e+01	7.35e-05	3.76e-03
response to chemical (GO:0042221)	1139	82	5.11e+01	+	1.61e+00	7.51e-05	3.80e-03
glycine catabolic process (GO:0006546)	7	5	3.14e-01	+	1.59e+01	8.89e-05	4.45e-03
photosystem II assembly (GO:0010207)	7	5	3.14e-01	+	1.59e+01	8.89e-05	4.41e-03
glycine decarboxylation via glycine cleavage system (GO:0019464)	7	5	3.14e-01	+	1.59e+01	8.89e-05	4.36e-03
nucleic acid metabolic process (GO:0090304)	1869	122	8.38e+01	+	1.46e+00	9.00e-05	4.37e-03
regulation of generation of precursor metabolites and energy (GO:0043467)	13	6	5.83e-01	+	1.03e+01	1.04e-04	4.98e-03
protein peptidyl-prolyl isomerization (GO:0000413)	65	12	2.91e+00	+	4.12e+00	1.04e-04	4.94e-03
cellular response to toxic substance (GO:0097237)	227	25	1.02e+01	+	2.46e+00	1.12e-04	5.28e-03
cellular detoxification (GO:1990748)	227	25	1.02e+01	+	2.46e+00	1.12e-04	5.23e-03
cell redox homeostasis (GO:0045454)	28	8	1.26e+00	+	6.37e+00	1.17e-04	5.40e-03
serine family amino acid biosynthetic process (GO:0009070)	46	10	2.06e+00	+	4.85e+00	1.21e-04	5.53e-03
cellular amino acid catabolic process (GO:0009063)	68	12	3.05e+00	+	3.94e+00	1.51e-04	6.86e-03
cellular amino acid biosynthetic process (GO:0008652)	203	23	9.10e+00	+	2.53e+00	1.72e-04	7.71e-03
starch metabolic process (GO:0005982)	49	10	2.20e+00	+	4.55e+00	1.90e-04	8.45e-03
thylakoid membrane organization (GO:0010027)	24	7	1.08e+00	+	6.51e+00	2.81e-04	1.24e-02
carbon fixation (GO:0015977)	24	7	1.08e+00	+	6.51e+00	2.81e-04	1.23e-02
plastid membrane organization (GO:0009668)	24	7	1.08e+00	+	6.51e+00	2.81e-04	1.22e-02
embryo development (GO:0009790)	85	13	3.81e+00	+	3.41e+00	2.88e-04	1.24e-02
cellular aldehyde metabolic process (GO:0006081)	52	10	2.33e+00	+	4.29e+00	2.89e-04	1.23e-02
RNA metabolic process (GO:0016070)	1422	95	6.37e+01	+	1.49e+00	2.90e-04	1.22e-02
cellular oxidant detoxification (GO:0098869)	215	23	9.64e+00	+	2.39e+00	2.92e-04	1.22e-02
RNA processing (GO:0006396)	789	59	3.54e+01	+	1.67e+00	3.03e-04	1.25e-02
tRNA aminoacylation for protein translation (GO:0006418)	63	11	2.82e+00	+	3.90e+00	3.06e-04	1.26e-02
cellular polysaccharide metabolic process (GO:0044264)	259	26	1.16e+01	+	2.24e+00	3.22e-04	1.31e-02
folic acid-containing compound metabolic process (GO:0006760)	25	7	1.12e+00	+	6.25e+00	3.46e-04	1.40e-02
carbohydrate derivative metabolic process (GO:1901135)	623	49	2.79e+01	+	1.75e+00	3.47e-04	1.39e-02
cellular carbohydrate metabolic process (GO:0044262)	411	36	1.84e+01	+	1.95e+00	3.57e-04	1.42e-02
NAD(P)H dehydrogenase complex assembly (GO:0010275)	5	4	2.24e-01	+	1.78e+01	3.58e-04	1.41e-02
carbohydrate metabolic process (GO:0005975)	1036	73	4.64e+01	+	1.57e+00	3.91e-04	1.53e-02
cellular carbohydrate biosynthetic process (GO:0034637)	206	22	9.23e+00	+	2.38e+00	4.07e-04	1.58e-02
tRNA metabolic process (GO:0006399)	207	22	9.28e+00	+	2.37e+00	4.27e-04	1.64e-02
carotenoid metabolic process (GO:0016116)	18	6	8.07e-01	+	7.44e+00	4.27e-04	1.63e-02
tetraterpenoid metabolic process (GO:0016108)	18	6	8.07e-01	+	7.44e+00	4.27e-04	1.62e-02
alpha-amino acid catabolic process (GO:1901606)	55	10	2.47e+00	+	4.06e+00	4.28e-04	1.61e-02
tRNA aminoacylation (GO:0043039)	66	11	2.96e+00	+	3.72e+00	4.35e-04	1.62e-02
amino acid activation (GO:0043038)	66	11	2.96e+00	+	3.72e+00	4.35e-04	1.61e-02
response to temperature stimulus (GO:0009266)	192	21	8.61e+00	+	2.44e+00	4.51e-04	1.66e-02
cellular response to chemical stimulus (GO:0070887)	727	55	3.26e+01	+	1.69e+00	4.66e-04	1.70e-02
organophosphate biosynthetic process (GO:0090407)	374	33	1.68e+01	+	1.97e+00	4.99e-04	1.80e-02
pteridine-containing compound metabolic process (GO:0042558)	27	7	1.21e+00	+	5.78e+00	5.13e-04	1.84e-02
peptidyl-proline modification (GO:0018208)	79	12	3.54e+00	+	3.39e+00	5.14e-04	1.83e-02
embryo development ending in seed dormancy (GO:0009793)	79	12	3.54e+00	+	3.39e+00	5.14e-04	1.82e-02
monocarboxylic acid metabolic process (GO:0032787)	376	33	1.69e+01	+	1.96e+00	5.29e-04	1.86e-02
ncRNA metabolic process (GO:0034660)	468	39	2.10e+01	+	1.86e+00	5.43e-04	1.89e-02
chloroplast RNA processing (GO:0031425)	12	5	5.38e-01	+	9.30e+00	5.80e-04	2.01e-02
nucleobase-containing small molecule metabolic process (GO:0055086)	388	34	1.74e+01	+	1.95e+00	6.03e-04	2.07e-02
purine-containing compound metabolic process (GO:0072521)	241	24	1.08e+01	+	2.22e+00	6.22e-04	2.12e-02
small molecule catabolic process (GO:0044282)	184	20	8.25e+00	+	2.42e+00	6.63e-04	2.24e-02
cellular ketone metabolic process (GO:0042180)	48	9	2.15e+00	+	4.18e+00	6.76e-04	2.27e-02
water-soluble vitamin biosynthetic process (GO:0042364)	60	10	2.69e+00	+	3.72e+00	7.82e-04	2.61e-02
protein metabolic process (GO:0019538)	4554	252	2.04e+02	+	1.23e+00	8.00e-04	2.65e-02
water-soluble vitamin metabolic process (GO:0006767)	72	11	3.23e+00	+	3.41e+00	8.31e-04	2.74e-02
Group II intron splicing (GO:0000373)	21	6	9.41e-01	+	6.37e+00	8.42e-04	2.75e-02
plastid translation (GO:0032544)	7	4	3.14e-01	+	1.27e+01	8.74e-04	2.84e-02
aspartate family amino acid metabolic process (GO:0009066)	61	10	2.73e+00	+	3.66e+00	8.76e-04	2.83e-02
sulfur amino acid biosynthetic process (GO:0000097)	51	9	2.29e+00	+	3.94e+00	9.90e-04	3.17e-02
glucose metabolic process (GO:0006006)	51	9	2.29e+00	+	3.94e+00	9.90e-04	3.15e-02
response to UV (GO:0009411)	22	6	9.86e-01	+	6.08e+00	1.03e-03	3.27e-02
sulfur compound biosynthetic process (GO:0044272)	112	14	5.02e+00	+	2.79e+00	1.05e-03	3.32e-02
polysaccharide biosynthetic process (GO:0000271)	178	19	7.98e+00	+	2.38e+00	1.06e-03	3.31e-02
cellular polysaccharide biosynthetic process (GO:0033692)	160	18	7.17e+00	+	2.51e+00	1.09e-03	3.39e-02
cellular glucan metabolic process (GO:0006073)	195	20	8.74e+00	+	2.29e+00	1.11e-03	3.43e-02
aspartate family amino acid biosynthetic process (GO:0009067)	52	9	2.33e+00	+	3.86e+00	1.12e-03	3.42e-02
cellular protein metabolic process (GO:0044267)	4052	226	1.82e+02	+	1.24e+00	1.14e-03	3.46e-02
dephosphorylation (GO:0016311)	372	32	1.67e+01	+	1.92e+00	1.14e-03	3.45e-02
melatonin metabolic process (GO:0030186)	8	4	3.59e-01	+	1.12e+01	1.27e-03	3.81e-02
DNA-templated transcription, termination (GO:0006353)	43	8	1.93e+00	+	4.15e+00	1.39e-03	4.15e-02
ketone biosynthetic process (GO:0042181)	33	7	1.48e+00	+	4.73e+00	1.42e-03	4.22e-02
quinone biosynthetic process (GO:1901663)	33	7	1.48e+00	+	4.73e+00	1.42e-03	4.19e-02
quinone metabolic process (GO:1901661)	33	7	1.48e+00	+	4.73e+00	1.42e-03	4.17e-02
glucan biosynthetic process (GO:0009250)	116	14	5.20e+00	+	2.69e+00	1.43e-03	4.16e-02
ribonucleoprotein complex subunit organization (GO:0071826)	163	0	7.31e+00	-	0	1.45e-03	4.21e-02
gluconeogenesis (GO:0006094)	24	6	1.08e+00	+	5.58e+00	1.51e-03	4.36e-02
hexose biosynthetic process (GO:0019319)	24	6	1.08e+00	+	5.58e+00	1.51e-03	4.33e-02
monocarboxylic acid biosynthetic process (GO:0072330)	170	18	7.62e+00	+	2.36e+00	1.56e-03	4.43e-02
sulfur amino acid metabolic process (GO:0000096)	55	9	2.47e+00	+	3.65e+00	1.58e-03	4.48e-02
developmental process (GO:0032502)	849	59	3.81e+01	+	1.55e+00	1.62e-03	4.57e-02
purine-containing compound catabolic process (GO:0072523)	16	5	7.17e-01	+	6.97e+00	1.65e-03	4.62e-02
cellular response to chemical stress (GO:0062197)	56	9	2.51e+00	+	3.59e+00	1.77e-03	4.91e-02
xanthophyll metabolic process (GO:0016122)	9	4	4.03e-01	+	9.92e+00	1.77e-03	4.89e-02
photosynthetic electron transport in photosystem II (GO:0009772)	9	4	4.03e-01	+	9.92e+00	1.77e-03	4.86e-02
production of siRNA involved in RNA interference (GO:0030422)	25	6	1.12e+00	+	5.35e+00	1.81e-03	4.94e-02
