GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cellular component organization (GO:0016043)	2018	234	8.73e+01	+	2.68e+00	7.70e-39	8.23e-37
organelle organization (GO:0006996)	1306	180	5.65e+01	+	3.19e+00	2.08e-38	2.18e-36
tRNA metabolic process (GO:0006399)	207	74	8.96e+00	+	8.26e+00	3.83e-38	3.92e-36
cellular protein metabolic process (GO:0044267)	4052	359	1.75e+02	+	2.05e+00	1.70e-36	1.70e-34
cytoplasmic translation (GO:0002181)	85	52	3.68e+00	+	1.41e+01	4.78e-36	4.69e-34
cellular protein-containing complex assembly (GO:0034622)	410	92	1.77e+01	+	5.19e+00	1.88e-33	1.81e-31
protein metabolic process (GO:0019538)	4554	378	1.97e+02	+	1.92e+00	5.26e-33	4.96e-31
protein-containing complex assembly (GO:0065003)	450	95	1.95e+01	+	4.88e+00	1.07e-32	9.90e-31
protein-containing complex subunit organization (GO:0043933)	528	101	2.28e+01	+	4.42e+00	1.28e-31	1.16e-29
tRNA processing (GO:0008033)	129	54	5.58e+00	+	9.67e+00	6.29e-31	5.61e-29
ribosomal small subunit biogenesis (GO:0042274)	77	45	3.33e+00	+	1.35e+01	9.58e-31	8.38e-29
cellular component assembly (GO:0022607)	636	104	2.75e+01	+	3.78e+00	1.28e-27	1.10e-25
ribosome assembly (GO:0042255)	70	38	3.03e+00	+	1.25e+01	2.60e-25	2.19e-23
macromolecule methylation (GO:0043414)	171	53	7.40e+00	+	7.16e+00	2.85e-25	2.36e-23
tRNA modification (GO:0006400)	94	42	4.07e+00	+	1.03e+01	3.04e-25	2.48e-23
DNA metabolic process (GO:0006259)	444	78	1.92e+01	+	4.06e+00	1.11e-22	8.91e-21
RNA methylation (GO:0001510)	76	36	3.29e+00	+	1.09e+01	1.64e-22	1.30e-20
maturation of SSU-rRNA (GO:0030490)	46	29	1.99e+00	+	1.46e+01	5.35e-21	4.15e-19
non-membrane-bounded organelle assembly (GO:0140694)	127	41	5.49e+00	+	7.46e+00	2.06e-20	1.58e-18
methylation (GO:0032259)	329	63	1.42e+01	+	4.43e+00	3.19e-20	2.40e-18
maturation of LSU-rRNA (GO:0000470)	47	27	2.03e+00	+	1.33e+01	7.10e-19	5.25e-17
nucleobase-containing compound biosynthetic process (GO:0034654)	536	78	2.32e+01	+	3.36e+00	2.21e-18	1.61e-16
organelle assembly (GO:0070925)	158	41	6.84e+00	+	6.00e+00	1.50e-17	1.07e-15
cellular response to DNA damage stimulus (GO:0006974)	347	60	1.50e+01	+	4.00e+00	1.77e-17	1.25e-15
DNA repair (GO:0006281)	327	58	1.41e+01	+	4.10e+00	2.20e-17	1.53e-15
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	322	57	1.39e+01	+	4.09e+00	4.48e-17	3.07e-15
ribosomal large subunit assembly (GO:0000027)	31	21	1.34e+00	+	1.57e+01	4.70e-16	3.19e-14
heterocycle biosynthetic process (GO:0018130)	691	84	2.99e+01	+	2.81e+00	1.56e-15	1.04e-13
chromosome organization (GO:0051276)	447	64	1.93e+01	+	3.31e+00	4.91e-15	3.24e-13
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	33	20	1.43e+00	+	1.40e+01	1.12e-14	7.27e-13
mRNA metabolic process (GO:0016071)	469	65	2.03e+01	+	3.20e+00	1.18e-14	7.59e-13
maturation of 5.8S rRNA (GO:0000460)	43	21	1.86e+00	+	1.13e+01	6.24e-14	3.95e-12
RNA phosphodiester bond hydrolysis (GO:0090501)	204	40	8.83e+00	+	4.53e+00	1.18e-13	7.35e-12
rRNA modification (GO:0000154)	42	20	1.82e+00	+	1.10e+01	3.56e-13	2.19e-11
cleavage involved in rRNA processing (GO:0000469)	31	18	1.34e+00	+	1.34e+01	4.12e-13	2.51e-11
mitochondrion organization (GO:0007005)	147	33	6.36e+00	+	5.19e+00	6.63e-13	3.99e-11
pseudouridine synthesis (GO:0001522)	30	17	1.30e+00	+	1.31e+01	2.48e-12	1.47e-10
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	30	17	1.30e+00	+	1.31e+01	2.48e-12	1.46e-10
aromatic compound biosynthetic process (GO:0019438)	761	81	3.29e+01	+	2.46e+00	3.06e-12	1.77e-10
organic cyclic compound biosynthetic process (GO:1901362)	847	87	3.66e+01	+	2.37e+00	3.15e-12	1.80e-10
nucleoside monophosphate metabolic process (GO:0009123)	70	23	3.03e+00	+	7.59e+00	3.23e-12	1.83e-10
ribonucleoside monophosphate metabolic process (GO:0009161)	49	20	2.12e+00	+	9.43e+00	3.38e-12	1.89e-10
translational elongation (GO:0006414)	58	21	2.51e+00	+	8.37e+00	6.23e-12	3.44e-10
nucleoside monophosphate biosynthetic process (GO:0009124)	52	20	2.25e+00	+	8.89e+00	8.10e-12	4.43e-10
ribonucleoside monophosphate biosynthetic process (GO:0009156)	46	19	1.99e+00	+	9.55e+00	9.93e-12	5.36e-10
cellular response to stress (GO:0033554)	611	69	2.64e+01	+	2.61e+00	1.14e-11	6.07e-10
DNA replication (GO:0006260)	130	29	5.62e+00	+	5.16e+00	1.85e-11	9.76e-10
tRNA methylation (GO:0030488)	36	17	1.56e+00	+	1.09e+01	2.31e-11	1.21e-09
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	21	14	9.09e-01	+	1.54e+01	4.34e-11	2.24e-09
cytoplasmic translational initiation (GO:0002183)	32	16	1.38e+00	+	1.16e+01	4.60e-11	2.36e-09
ncRNA 3'-end processing (GO:0043628)	33	16	1.43e+00	+	1.12e+01	6.57e-11	3.33e-09
mitochondrial gene expression (GO:0140053)	42	17	1.82e+00	+	9.35e+00	1.56e-10	7.84e-09
protein folding (GO:0006457)	219	36	9.48e+00	+	3.80e+00	1.58e-10	7.85e-09
ribose phosphate metabolic process (GO:0019693)	245	37	1.06e+01	+	3.49e+00	7.28e-10	3.57e-08
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	125	26	5.41e+00	+	4.81e+00	7.39e-10	3.59e-08
nucleoside phosphate metabolic process (GO:0006753)	309	42	1.34e+01	+	3.14e+00	9.48e-10	4.56e-08
ribosomal small subunit assembly (GO:0000028)	29	14	1.25e+00	+	1.12e+01	1.07e-09	5.11e-08
small molecule metabolic process (GO:0044281)	1403	114	6.07e+01	+	1.88e+00	1.15e-09	5.43e-08
nucleic acid-templated transcription (GO:0097659)	276	39	1.19e+01	+	3.27e+00	1.40e-09	6.54e-08
nuclear transport (GO:0051169)	110	24	4.76e+00	+	5.04e+00	1.45e-09	6.68e-08
nucleocytoplasmic transport (GO:0006913)	110	24	4.76e+00	+	5.04e+00	1.45e-09	6.62e-08
regulation of DNA metabolic process (GO:0051052)	44	16	1.90e+00	+	8.40e+00	1.91e-09	8.65e-08
protein localization to mitochondrion (GO:0070585)	67	19	2.90e+00	+	6.55e+00	1.92e-09	8.61e-08
establishment of protein localization to mitochondrion (GO:0072655)	67	19	2.90e+00	+	6.55e+00	1.92e-09	8.53e-08
nucleotide metabolic process (GO:0009117)	292	40	1.26e+01	+	3.17e+00	1.93e-09	8.51e-08
RNA splicing (GO:0008380)	255	37	1.10e+01	+	3.35e+00	1.93e-09	8.44e-08
RNA biosynthetic process (GO:0032774)	281	39	1.22e+01	+	3.21e+00	2.20e-09	9.54e-08
transcription, DNA-templated (GO:0006351)	270	38	1.17e+01	+	3.25e+00	2.50e-09	1.07e-07
establishment of protein localization to organelle (GO:0072594)	249	36	1.08e+01	+	3.34e+00	3.46e-09	1.47e-07
purine ribonucleoside monophosphate metabolic process (GO:0009167)	33	14	1.43e+00	+	9.81e+00	4.00e-09	1.69e-07
purine nucleoside monophosphate metabolic process (GO:0009126)	33	14	1.43e+00	+	9.81e+00	4.00e-09	1.67e-07
snRNA metabolic process (GO:0016073)	27	13	1.17e+00	+	1.11e+01	4.34e-09	1.80e-07
RNA localization (GO:0006403)	81	20	3.50e+00	+	5.71e+00	5.49e-09	2.26e-07
protein targeting to mitochondrion (GO:0006626)	64	18	2.77e+00	+	6.50e+00	5.66e-09	2.31e-07
chloroplast organization (GO:0009658)	130	25	5.62e+00	+	4.44e+00	6.25e-09	2.53e-07
protein import (GO:0017038)	111	23	4.80e+00	+	4.79e+00	7.38e-09	2.96e-07
translational initiation (GO:0006413)	94	21	4.07e+00	+	5.16e+00	1.05e-08	4.19e-07
ribonucleotide metabolic process (GO:0009259)	237	34	1.03e+01	+	3.32e+00	1.11e-08	4.36e-07
nucleoside phosphate biosynthetic process (GO:1901293)	167	28	7.23e+00	+	3.88e+00	1.13e-08	4.43e-07
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	30	13	1.30e+00	+	1.00e+01	1.18e-08	4.56e-07
purine nucleoside monophosphate biosynthetic process (GO:0009127)	30	13	1.30e+00	+	1.00e+01	1.18e-08	4.52e-07
embryo sac development (GO:0009553)	30	13	1.30e+00	+	1.00e+01	1.18e-08	4.49e-07
mitochondrial RNA metabolic process (GO:0000959)	37	14	1.60e+00	+	8.75e+00	1.29e-08	4.90e-07
RNA 3'-end processing (GO:0031123)	86	20	3.72e+00	+	5.37e+00	1.31e-08	4.93e-07
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	14	10	6.06e-01	+	1.65e+01	1.69e-08	6.31e-07
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	14	10	6.06e-01	+	1.65e+01	1.69e-08	6.26e-07
DNA conformation change (GO:0071103)	138	25	5.97e+00	+	4.19e+00	1.78e-08	6.53e-07
DNA-dependent DNA replication (GO:0006261)	99	21	4.28e+00	+	4.90e+00	2.30e-08	8.39e-07
cellular amino acid metabolic process (GO:0006520)	400	46	1.73e+01	+	2.66e+00	2.34e-08	8.47e-07
ribose phosphate biosynthetic process (GO:0046390)	130	24	5.62e+00	+	4.27e+00	2.48e-08	8.90e-07
protein localization to organelle (GO:0033365)	285	37	1.23e+01	+	3.00e+00	2.71e-08	9.67e-07
mRNA modification (GO:0016556)	33	13	1.43e+00	+	9.10e+00	2.91e-08	1.03e-06
negative regulation of biological process (GO:0048519)	712	67	3.08e+01	+	2.17e+00	2.95e-08	1.03e-06
nucleotide biosynthetic process (GO:0009165)	165	27	7.14e+00	+	3.78e+00	3.21e-08	1.12e-06
posttranscriptional regulation of gene expression (GO:0010608)	265	35	1.15e+01	+	3.05e+00	4.36e-08	1.51e-06
formation of cytoplasmic translation initiation complex (GO:0001732)	22	11	9.52e-01	+	1.16e+01	5.04e-08	1.73e-06
protein methylation (GO:0006479)	85	19	3.68e+00	+	5.17e+00	5.18e-08	1.77e-06
protein alkylation (GO:0008213)	85	19	3.68e+00	+	5.17e+00	5.18e-08	1.75e-06
mitochondrial transport (GO:0006839)	105	21	4.54e+00	+	4.62e+00	5.55e-08	1.87e-06
negative regulation of gene expression (GO:0010629)	281	36	1.22e+01	+	2.96e+00	5.61e-08	1.87e-06
nucleobase-containing small molecule metabolic process (GO:0055086)	388	44	1.68e+01	+	2.62e+00	6.21e-08	2.06e-06
sno(s)RNA 3'-end processing (GO:0031126)	17	10	7.36e-01	+	1.36e+01	6.49e-08	2.14e-06
mRNA processing (GO:0006397)	338	40	1.46e+01	+	2.74e+00	7.40e-08	2.42e-06
sno(s)RNA processing (GO:0043144)	18	10	7.79e-01	+	1.28e+01	9.72e-08	3.16e-06
sno(s)RNA metabolic process (GO:0016074)	18	10	7.79e-01	+	1.28e+01	9.72e-08	3.14e-06
protein import into nucleus (GO:0006606)	45	14	1.95e+00	+	7.19e+00	9.76e-08	3.13e-06
DNA duplex unwinding (GO:0032508)	62	16	2.68e+00	+	5.96e+00	1.08e-07	3.45e-06
DNA geometric change (GO:0032392)	62	16	2.68e+00	+	5.96e+00	1.08e-07	3.42e-06
import into nucleus (GO:0051170)	46	14	1.99e+00	+	7.03e+00	1.22e-07	3.85e-06
establishment of RNA localization (GO:0051236)	72	17	3.12e+00	+	5.46e+00	1.31e-07	4.10e-06
RNA transport (GO:0050658)	72	17	3.12e+00	+	5.46e+00	1.31e-07	4.07e-06
nucleic acid transport (GO:0050657)	72	17	3.12e+00	+	5.46e+00	1.31e-07	4.05e-06
purine-containing compound metabolic process (GO:0072521)	241	32	1.04e+01	+	3.07e+00	1.45e-07	4.45e-06
ribonucleotide biosynthetic process (GO:0009260)	124	22	5.37e+00	+	4.10e+00	1.72e-07	5.23e-06
protein localization to nucleus (GO:0034504)	48	14	2.08e+00	+	6.74e+00	1.90e-07	5.74e-06
plastid organization (GO:0009657)	159	25	6.88e+00	+	3.63e+00	2.01e-07	6.04e-06
IMP metabolic process (GO:0046040)	20	10	8.65e-01	+	1.16e+01	2.06e-07	6.16e-06
purine nucleotide metabolic process (GO:0006163)	220	30	9.52e+00	+	3.15e+00	2.11e-07	6.26e-06
spliceosomal snRNP assembly (GO:0000387)	27	11	1.17e+00	+	9.42e+00	2.59e-07	7.64e-06
rRNA pseudouridine synthesis (GO:0031118)	15	9	6.49e-01	+	1.39e+01	2.64e-07	7.76e-06
regulation of cell cycle process (GO:0010564)	96	19	4.15e+00	+	4.57e+00	2.71e-07	7.89e-06
DNA recombination (GO:0006310)	163	25	7.05e+00	+	3.54e+00	3.05e-07	8.83e-06
organophosphate metabolic process (GO:0019637)	614	57	2.66e+01	+	2.15e+00	4.16e-07	1.20e-05
RNA catabolic process (GO:0006401)	133	22	5.75e+00	+	3.82e+00	4.97e-07	1.42e-05
tRNA aminoacylation for protein translation (GO:0006418)	63	15	2.73e+00	+	5.50e+00	6.49e-07	1.85e-05
purine ribonucleotide metabolic process (GO:0009150)	210	28	9.09e+00	+	3.08e+00	7.90e-07	2.24e-05
IMP biosynthetic process (GO:0006188)	18	9	7.79e-01	+	1.16e+01	8.47e-07	2.38e-05
protein phosphorylation (GO:0006468)	1507	29	6.52e+01	-	4.45e-01	8.81e-07	2.46e-05
purine nucleotide biosynthetic process (GO:0006164)	105	19	4.54e+00	+	4.18e+00	8.97e-07	2.49e-05
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	212	28	9.17e+00	+	3.05e+00	9.36e-07	2.59e-05
RNA splicing, via transesterification reactions (GO:0000375)	212	28	9.17e+00	+	3.05e+00	9.36e-07	2.57e-05
macromolecule modification (GO:0043412)	3466	212	1.50e+02	+	1.41e+00	1.02e-06	2.78e-05
tRNA aminoacylation (GO:0043039)	66	15	2.86e+00	+	5.25e+00	1.08e-06	2.92e-05
amino acid activation (GO:0043038)	66	15	2.86e+00	+	5.25e+00	1.08e-06	2.91e-05
mismatch repair (GO:0006298)	19	9	8.22e-01	+	1.09e+01	1.20e-06	3.23e-05
rRNA methylation (GO:0031167)	26	10	1.12e+00	+	8.89e+00	1.39e-06	3.71e-05
carboxylic acid metabolic process (GO:0019752)	818	68	3.54e+01	+	1.92e+00	1.43e-06	3.80e-05
regulation of cellular amide metabolic process (GO:0034248)	219	28	9.48e+00	+	2.95e+00	1.66e-06	4.39e-05
purine-containing compound biosynthetic process (GO:0072522)	111	19	4.80e+00	+	3.96e+00	1.87e-06	4.90e-05
double-strand break repair (GO:0006302)	124	20	5.37e+00	+	3.73e+00	2.28e-06	5.95e-05
tRNA wobble base modification (GO:0002097)	21	9	9.09e-01	+	9.91e+00	2.31e-06	6.00e-05
rRNA catabolic process (GO:0016075)	21	9	9.09e-01	+	9.91e+00	2.31e-06	5.97e-05
'de novo' IMP biosynthetic process (GO:0006189)	15	8	6.49e-01	+	1.23e+01	2.42e-06	6.22e-05
oxoacid metabolic process (GO:0043436)	828	68	3.58e+01	+	1.90e+00	2.47e-06	6.31e-05
U4 snRNA 3'-end processing (GO:0034475)	10	7	4.33e-01	+	1.62e+01	2.81e-06	7.16e-05
regulation of translational fidelity (GO:0006450)	29	10	1.25e+00	+	7.97e+00	3.10e-06	7.85e-05
negative regulation of metabolic process (GO:0009892)	542	50	2.35e+01	+	2.13e+00	3.32e-06	8.37e-05
regulation of translation (GO:0006417)	215	27	9.30e+00	+	2.90e+00	3.42e-06	8.57e-05
nuclear mRNA surveillance (GO:0071028)	16	8	6.92e-01	+	1.16e+01	3.50e-06	8.71e-05
nuclear RNA surveillance (GO:0071027)	16	8	6.92e-01	+	1.16e+01	3.50e-06	8.66e-05
cell cycle (GO:0007049)	411	41	1.78e+01	+	2.31e+00	3.87e-06	9.54e-05
ncRNA catabolic process (GO:0034661)	23	9	9.95e-01	+	9.04e+00	4.20e-06	1.03e-04
gametophyte development (GO:0048229)	96	17	4.15e+00	+	4.09e+00	4.28e-06	1.04e-04
mRNA splicing, via spliceosome (GO:0000398)	192	25	8.31e+00	+	3.01e+00	4.39e-06	1.07e-04
peptidyl-arginine N-methylation (GO:0035246)	11	7	4.76e-01	+	1.47e+01	4.44e-06	1.07e-04
base conversion or substitution editing (GO:0016553)	17	8	7.36e-01	+	1.09e+01	4.95e-06	1.19e-04
RNA surveillance (GO:0071025)	17	8	7.36e-01	+	1.09e+01	4.95e-06	1.19e-04
megagametogenesis (GO:0009561)	17	8	7.36e-01	+	1.09e+01	4.95e-06	1.18e-04
organophosphate biosynthetic process (GO:0090407)	374	38	1.62e+01	+	2.35e+00	4.96e-06	1.18e-04
developmental process (GO:0032502)	849	68	3.67e+01	+	1.85e+00	4.96e-06	1.17e-04
purine ribonucleotide biosynthetic process (GO:0009152)	98	17	4.24e+00	+	4.01e+00	5.46e-06	1.28e-04
snRNA 3'-end processing (GO:0034472)	12	7	5.19e-01	+	1.35e+01	6.77e-06	1.58e-04
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	12	7	5.19e-01	+	1.35e+01	6.77e-06	1.57e-04
nucleobase-containing compound catabolic process (GO:0034655)	172	23	7.44e+00	+	3.09e+00	7.05e-06	1.63e-04
peptidyl-lysine modification (GO:0018205)	135	20	5.84e+00	+	3.42e+00	7.13e-06	1.64e-04
mRNA transport (GO:0051028)	59	13	2.55e+00	+	5.09e+00	7.43e-06	1.70e-04
organic acid metabolic process (GO:0006082)	860	68	3.72e+01	+	1.83e+00	8.38e-06	1.91e-04
positive regulation of catalytic activity (GO:0043085)	80	15	3.46e+00	+	4.33e+00	8.46e-06	1.92e-04
regulation of cell cycle phase transition (GO:1901987)	70	14	3.03e+00	+	4.62e+00	8.83e-06	1.99e-04
intracellular transport (GO:0046907)	679	57	2.94e+01	+	1.94e+00	9.01e-06	2.03e-04
mitochondrial translation (GO:0032543)	26	9	1.12e+00	+	8.00e+00	9.45e-06	2.11e-04
establishment of localization in cell (GO:0051649)	712	59	3.08e+01	+	1.92e+00	9.48e-06	2.11e-04
peptidyl-arginine methylation (GO:0018216)	13	7	5.62e-01	+	1.24e+01	1.00e-05	2.23e-04
DNA-templated transcription, termination (GO:0006353)	43	11	1.86e+00	+	5.91e+00	1.12e-05	2.47e-04
negative regulation of macromolecule metabolic process (GO:0010605)	526	47	2.28e+01	+	2.07e+00	1.13e-05	2.47e-04
regulation of helicase activity (GO:0051095)	8	6	3.46e-01	+	1.73e+01	1.14e-05	2.49e-04
peptidyl-amino acid modification (GO:0018193)	404	39	1.75e+01	+	2.23e+00	1.14e-05	2.49e-04
gene silencing (GO:0016458)	116	18	5.02e+00	+	3.59e+00	1.15e-05	2.49e-04
positive regulation of biological process (GO:0048518)	705	58	3.05e+01	+	1.90e+00	1.32e-05	2.84e-04
carbohydrate derivative metabolic process (GO:1901135)	623	53	2.70e+01	+	1.97e+00	1.45e-05	3.11e-04
peptidyl-arginine modification (GO:0018195)	14	7	6.06e-01	+	1.16e+01	1.45e-05	3.10e-04
positive regulation of molecular function (GO:0044093)	85	15	3.68e+00	+	4.08e+00	1.60e-05	3.41e-04
positive regulation of cellular process (GO:0048522)	599	51	2.59e+01	+	1.97e+00	1.61e-05	3.41e-04
reproductive process (GO:0022414)	579	50	2.51e+01	+	2.00e+00	1.77e-05	3.72e-04
reproduction (GO:0000003)	581	50	2.51e+01	+	1.99e+00	1.82e-05	3.82e-04
rRNA 3'-end processing (GO:0031125)	15	7	6.49e-01	+	1.08e+01	2.05e-05	4.29e-04
snRNA processing (GO:0016180)	15	7	6.49e-01	+	1.08e+01	2.05e-05	4.28e-04
positive regulation of gene expression (GO:0010628)	56	12	2.42e+00	+	4.95e+00	2.11e-05	4.37e-04
gene silencing by RNA (GO:0031047)	88	15	3.81e+00	+	3.94e+00	2.30e-05	4.74e-04
cell cycle process (GO:0022402)	329	33	1.42e+01	+	2.32e+00	2.69e-05	5.53e-04
DNA biosynthetic process (GO:0071897)	48	11	2.08e+00	+	5.30e+00	2.71e-05	5.54e-04
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	10	6	4.33e-01	+	1.39e+01	2.82e-05	5.75e-04
chromatin organization (GO:0006325)	272	29	1.18e+01	+	2.46e+00	2.89e-05	5.86e-04
regulation of chromosome organization (GO:0033044)	40	10	1.73e+00	+	5.78e+00	3.31e-05	6.68e-04
multicellular organismal process (GO:0032501)	782	61	3.38e+01	+	1.80e+00	3.48e-05	6.99e-04
regulation of DNA recombination (GO:0000018)	17	7	7.36e-01	+	9.52e+00	3.88e-05	7.77e-04
histone modification (GO:0016570)	141	19	6.10e+00	+	3.11e+00	3.89e-05	7.76e-04
covalent chromatin modification (GO:0016569)	141	19	6.10e+00	+	3.11e+00	3.89e-05	7.73e-04
telomere maintenance (GO:0000723)	41	10	1.77e+00	+	5.64e+00	3.96e-05	7.84e-04
telomere organization (GO:0032200)	41	10	1.77e+00	+	5.64e+00	3.96e-05	7.81e-04
nuclear export (GO:0051168)	71	13	3.07e+00	+	4.23e+00	4.13e-05	8.11e-04
protein acetylation (GO:0006473)	42	10	1.82e+00	+	5.50e+00	4.72e-05	9.24e-04
regulation of metabolic process (GO:0019222)	2912	173	1.26e+02	+	1.37e+00	5.54e-05	1.08e-03
mRNA catabolic process (GO:0006402)	108	16	4.67e+00	+	3.42e+00	5.69e-05	1.10e-03
nucleobase-containing compound transport (GO:0015931)	146	19	6.32e+00	+	3.01e+00	5.95e-05	1.15e-03
nucleus organization (GO:0006997)	26	8	1.12e+00	+	7.11e+00	5.96e-05	1.15e-03
cellular localization (GO:0051641)	834	63	3.61e+01	+	1.75e+00	6.07e-05	1.16e-03
positive regulation of nuclear division (GO:0051785)	12	6	5.19e-01	+	1.16e+01	6.09e-05	1.16e-03
intracellular protein transport (GO:0006886)	487	42	2.11e+01	+	1.99e+00	6.53e-05	1.24e-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	19	7	8.22e-01	+	8.52e+00	6.85e-05	1.30e-03
tRNA wobble uridine modification (GO:0002098)	19	7	8.22e-01	+	8.52e+00	6.85e-05	1.29e-03
