GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cell cycle (GO:0007049)	411	16	4.52e+00	+	3.54e+00	2.23e-05	2.38e-03
lignin catabolic process (GO:0046274)	27	5	2.97e-01	+	1.68e+01	2.35e-05	2.46e-03
phenylpropanoid catabolic process (GO:0046271)	27	5	2.97e-01	+	1.68e+01	2.35e-05	2.41e-03
cellular process (GO:0009987)	12532	181	1.38e+02	+	1.31e+00	2.45e-05	2.46e-03
cortical cytoskeleton organization (GO:0030865)	29	5	3.19e-01	+	1.57e+01	3.20e-05	3.14e-03
cell wall polysaccharide biosynthetic process (GO:0070592)	75	7	8.25e-01	+	8.49e+00	3.24e-05	3.12e-03
RNA metabolic process (GO:0016070)	1422	2	1.56e+01	-	1.28e-01	3.95e-05	3.72e-03
supramolecular fiber organization (GO:0097435)	109	8	1.20e+00	+	6.68e+00	4.47e-05	4.13e-03
cellular component biogenesis (GO:0044085)	1079	28	1.19e+01	+	2.36e+00	4.48e-05	4.06e-03
cellular component macromolecule biosynthetic process (GO:0070589)	80	7	8.80e-01	+	7.96e+00	4.75e-05	4.23e-03
cell wall macromolecule biosynthetic process (GO:0044038)	80	7	8.80e-01	+	7.96e+00	4.75e-05	4.16e-03
microtubule-based movement (GO:0007018)	56	6	6.16e-01	+	9.75e+00	5.89e-05	5.06e-03
hemicellulose metabolic process (GO:0010410)	114	8	1.25e+00	+	6.38e+00	6.02e-05	5.08e-03
xylem development (GO:0010089)	6	3	6.60e-02	+	4.55e+01	1.02e-04	8.48e-03
flavonoid biosynthetic process (GO:0009813)	19	4	2.09e-01	+	1.91e+01	1.04e-04	8.46e-03
flavonoid metabolic process (GO:0009812)	19	4	2.09e-01	+	1.91e+01	1.04e-04	8.32e-03
glucuronoxylan biosynthetic process (GO:0010417)	21	4	2.31e-01	+	1.73e+01	1.46e-04	1.15e-02
glucuronoxylan metabolic process (GO:0010413)	21	4	2.31e-01	+	1.73e+01	1.46e-04	1.13e-02
nucleobase-containing compound metabolic process (GO:0006139)	2249	8	2.47e+01	-	3.24e-01	1.48e-04	1.13e-02
heterocycle metabolic process (GO:0046483)	2467	10	2.71e+01	-	3.69e-01	2.04e-04	1.53e-02
protein phosphorylation (GO:0006468)	1507	33	1.66e+01	+	1.99e+00	2.38e-04	1.76e-02
movement of cell or subcellular component (GO:0006928)	74	6	8.14e-01	+	7.37e+00	2.44e-04	1.78e-02
mitotic cell cycle process (GO:1903047)	183	9	2.01e+00	+	4.47e+00	2.76e-04	1.98e-02
phenylpropanoid biosynthetic process (GO:0009699)	51	5	5.61e-01	+	8.92e+00	3.60e-04	2.55e-02
cell division (GO:0051301)	198	9	2.18e+00	+	4.13e+00	4.79e-04	3.34e-02
phosphorylation (GO:0016310)	1822	37	2.00e+01	+	1.85e+00	5.12e-04	3.52e-02
