Gene,KEGG
Os04g0402100 ,"Protein processing in endoplasmic reticulum, Phagosome"
Os07g0166800 ,Ubiquitin mediated proteolysis
Os01g0665400 ,Pentose phosphate pathway
Os12g0139600 ,"Ascorbate and aldarate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0533700 ,"Oxidative phosphorylation, Metabolic pathways"
Os06g0726400 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0369700 ,Glutathione metabolism
Os04g0578000 ,"Cysteine and methionine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, MAPK signaling pathway - plant"
Os06g0656000 ,"Cyanoamino acid metabolism, Biosynthesis of secondary metabolites"
Os01g0752200 ,"Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism"
Os06g0245800 ,Aminoacyl-tRNA biosynthesis
Os08g0508700 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os08g0245400 ,"Biotin metabolism, Metabolic pathways"
Os03g0719400 ,"Glycerolipid metabolism, Metabolic pathways"
Os10g0391400 ,Plant hormone signal transduction
Os05g0115900 ,"Other glycan degradation, Amino sugar and nucleotide sugar metabolism, Glycosaminoglycan degradation, Glycosphingolipid biosynthesis - globo and isoglobo series, Glycosphingolipid biosynthesis - ganglio series, Metabolic pathways"
Os02g0596500 ,Endocytosis
Os07g0184900 ,Non-homologous end-joining
Os06g0107700 ,"Photosynthesis, Metabolic pathways"
Os09g0316000 ,"Taurine and hypotaurine metabolism, Metabolic pathways"
Os07g0464600 ,ABC transporters
Os02g0141300 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os07g0202300 ,Spliceosome
Os02g0194700 ,"Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0220300 ,Ribosome
Os04g0560400 ,Other glycan degradation
Os05g0535800 ,Ribosome
Os03g0667100 ,Plant hormone signal transduction
Os03g0701800 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Endocytosis"
Os06g0264300 ,"Nucleotide excision repair, Protein processing in endoplasmic reticulum"
Os06g0326700 ,"Glycerolipid metabolism, Metabolic pathways"
Os05g0186100 ,Plant hormone signal transduction
Os01g0948900 ,Plant hormone signal transduction
Os01g0501700 ,Protein export
Os08g0544900 ,"Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Butanoate metabolism, Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0474500 ,Plant hormone signal transduction
Os03g0118800 ,"Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Butanoate metabolism, Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0598200 ,Ribosome
Os03g0850400 ,"Glycine, serine and threonine metabolism, Monobactam biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os06g0195600 ,"Inositol phosphate metabolism, Metabolic pathways"
Os05g0187800 ,Protein processing in endoplasmic reticulum
Os08g0109400 ,Plant hormone signal transduction
Os02g0196800 ,"Tyrosine metabolism, Metabolic pathways"
Os11g0132700 ,RNA transport
Os04g0476100 ,"Glycine, serine and threonine metabolism, Tyrosine metabolism, Phenylalanine metabolism, beta-Alanine metabolism, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0756000 ,Ribosome
Os03g0818400 ,Ribosome
Os05g0353400 ,RNA transport
Os07g0685700 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os03g0720300 ,"Alanine, aspartate and glutamate metabolism, beta-Alanine metabolism, Taurine and hypotaurine metabolism, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0300900 ,"Glycine, serine and threonine metabolism, Monobactam biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os07g0484800 ,"Purine metabolism, Metabolic pathways"
Os03g0136900 ,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os06g0345200 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Cysteine and methionine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os02g0626100 ,"Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0109300 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0511200 ,"Cutin, suberine and wax biosynthesis"
Os04g0346000 ,"Arginine and proline metabolism, Metabolic pathways"
Os05g0100800 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os02g0198900 ,Ribosome
Os01g0889000 ,Protein export
Os02g0478600 ,Ribosome
Os03g0293500 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0207300 ,Ribosome
Os01g0372700 ,Aminoacyl-tRNA biosynthesis
Os11g0256050 ,"Valine, leucine and isoleucine biosynthesis, Butanoate metabolism, C5-Branched dibasic acid metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os02g0110200 ,"alpha-Linolenic acid metabolism, Biosynthesis of secondary metabolites"
Os01g0801600 ,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os11g0484300 ,DNA replication
Os06g0696400 ,Plant hormone signal transduction
Os03g0356300 ,Ribosome
Os10g0571300 ,Plant hormone signal transduction
Os01g0689800 ,Fatty acid elongation
Os01g0723200 ,Ribosome
Os06g0660700 ,Ubiquitin mediated proteolysis
Os01g0357100 ,Nitrogen metabolism
Os12g0538500 ,Ubiquitin mediated proteolysis
Os05g0102900 ,Endocytosis
Os05g0574500 ,"Ribosome biogenesis in eukaryotes, RNA transport"
Os02g0698000 ,"Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os09g0294000 ,"Glycine, serine and threonine metabolism, Monobactam biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os01g0654500 ,"Citrate cycle (TCA cycle), Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids, Peroxisome"
Os12g0128700 ,Amino sugar and nucleotide sugar metabolism
Os01g0173900 ,ABC transporters
Os07g0209000 ,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum"
Os06g0715500 ,Protein processing in endoplasmic reticulum
Os04g0444600 ,Proteasome
Os03g0305000 ,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os12g0503200 ,RNA transport
Os05g0156700 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Glycine, serine and threonine metabolism, Valine, leucine and isoleucine degradation, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os09g0505600 ,Proteasome
Os08g0530200 ,Ribosome
Os11g0302500 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0190300 ,Plant hormone signal transduction
Os12g0556600 ,"Pyrimidine metabolism, Metabolic pathways"
Os01g0375200 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os10g0573400 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os01g0174300 ,Amino sugar and nucleotide sugar metabolism
Os09g0419200 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0515400 ,"Pyrimidine metabolism, Metabolic pathways"
Os03g0856700 ,"Diterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0680000 ,"Basal transcription factors, Nucleotide excision repair"
Os02g0533900 ,"Arginine and proline metabolism, Metabolic pathways"
Os03g0122200 ,Ribosome
Os11g0689400 ,Spliceosome
Os01g0743400 ,Aminoacyl-tRNA biosynthesis
Os02g0813600 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0175600 ,"Alanine, aspartate and glutamate metabolism"
Os02g0550300 ,Protein processing in endoplasmic reticulum
Os02g0735200 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Biosynthesis of amino acids"
Os03g0262400 ,RNA transport
Os11g0637700 ,mRNA surveillance pathway
Os10g0497100 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0107000 ,Peroxisome
Os01g0970400 ,RNA transport
Os06g0167000 ,Spliceosome
Os03g0760700 ,"Glycine, serine and threonine metabolism, Monobactam biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os08g0499300 ,Plant-pathogen interaction
Os06g0131300 ,"Arginine and proline metabolism, Metabolic pathways"
Os12g0428600 ,Ubiquitin mediated proteolysis
Os09g0298200 ,"Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0610200 ,Plant hormone signal transduction
Os01g0141100 ,Endocytosis
Os01g0326000 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0543400 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0169900 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system"
Os12g0244100 ,"Spliceosome, Protein processing in endoplasmic reticulum, Endocytosis"
Os04g0535600 ,"Galactose metabolism, Starch and sucrose metabolism, Metabolic pathways"
Os04g0630400 ,"Flavonoid biosynthesis, Biosynthesis of secondary metabolites"
Os11g0105800 ,Terpenoid backbone biosynthesis
Os11g0516000 ,"Sphingolipid metabolism, Metabolic pathways"
Os06g0185100 ,"Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism"
Os02g0701600 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0448000 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0394700 ,"Glycerolipid metabolism, Metabolic pathways"
Os12g0611900 ,"N-Glycan biosynthesis, Metabolic pathways"
Os02g0273100 ,Folate biosynthesis
Os12g0446700 ,Autophagy - other
Os03g0343300 ,Ribosome biogenesis in eukaryotes
Os04g0667800 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os06g0203800 ,MAPK signaling pathway - plant
Os03g0212800 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0552900 ,Circadian rhythm - plant
Os01g0763600 ,Glycerophospholipid metabolism
Os08g0133000 ,"Taurine and hypotaurine metabolism, Metabolic pathways"
Os10g0411800 ,Ribosome
Os01g0764000 ,Glutathione metabolism
Os12g0115700 ,"Flavonoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0826400 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os07g0676900 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0702500 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os09g0327400 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0669900 ,"Cysteine and methionine metabolism, Metabolic pathways"
Os01g0231700 ,Ribosome
Os03g0267000 ,Protein processing in endoplasmic reticulum
Os01g0695300 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0650600 ,Ribosome biogenesis in eukaryotes
Os03g0128500 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os09g0361500 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0860100 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os10g0528400 ,Glutathione metabolism
Os11g0220800 ,Ribosome
Os06g0555400 ,Ribosome
Os05g0580000 ,"Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0617800 ,"Pentose phosphate pathway, Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0749300 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0510700 ,Endocytosis
Os03g0844100 ,Plant-pathogen interaction
Os09g0440300 ,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Glycine, serine and threonine metabolism, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0197100 ,"Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os06g0354500 ,"Fatty acid degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome"
Os06g0704600 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0363100 ,"Glycerolipid metabolism, Metabolic pathways"
Os03g0730000 ,Glycerophospholipid metabolism
Os03g0269100 ,"Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0389300 ,"Porphyrin and chlorophyll metabolism, Biosynthesis of secondary metabolites"
Os08g0556700 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system"
Os09g0363600 ,RNA transport
Os11g0160500 ,MAPK signaling pathway - plant
Os05g0549700 ,"Glycine, serine and threonine metabolism, Vitamin B6 metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os07g0627700 ,"Sphingolipid metabolism, Metabolic pathways"
Os02g0139200 ,RNA transport
Os03g0661300 ,Phagosome
Os01g0382400 ,"MAPK signaling pathway - plant, Plant hormone signal transduction, Plant-pathogen interaction"
Os07g0163500 ,Aminoacyl-tRNA biosynthesis
Os02g0802700 ,"Glycerolipid metabolism, Metabolic pathways"
Os03g0251500 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os07g0661800 ,Ribosome biogenesis in eukaryotes
Os05g0349200 ,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0558800 ,Ribosome
Os01g0848700 ,Endocytosis
Os03g0733800 ,Protein processing in endoplasmic reticulum
Os04g0671200 ,"Arginine and proline metabolism, beta-Alanine metabolism"
Os08g0120000 ,"Citrate cycle (TCA cycle), Oxidative phosphorylation, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0865100 ,"Purine metabolism, Caffeine metabolism, Metabolic pathways"
Os07g0689950 ,Homologous recombination
Os02g0821200 ,Ribosome
Os01g0813400 ,Endocytosis
Os02g0175400 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os11g0147000 ,"Fatty acid biosynthesis, Fatty acid degradation, Metabolic pathways, Fatty acid metabolism, Peroxisome"
Os12g0566300 ,"Citrate cycle (TCA cycle), Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0252000 ,RNA degradation
Os01g0612500 ,Glycerophospholipid metabolism
Os02g0805200 ,"DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair"
Os01g0796400 ,"Phenylalanine metabolism, Butanoate metabolism, Metabolic pathways"
Os06g0656500 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0531400 ,Glutathione metabolism
Os09g0569100 ,"Riboflavin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0115500 ,"Vitamin B6 metabolism, Metabolic pathways"
Os12g0601400 ,Plant hormone signal transduction
Os02g0806900 ,"Sphingolipid metabolism, Metabolic pathways"
Os03g0736300 ,"Starch and sucrose metabolism, Metabolic pathways"
Os02g0527600 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os07g0613000 ,Purine metabolism
Os10g0569200 ,RNA transport
Os07g0412100 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0318500 ,"Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os03g0832800 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0533500 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0379700 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0474500 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0517500 ,"Cysteine and methionine metabolism, Selenocompound metabolism"
Os02g0710900 ,Protein processing in endoplasmic reticulum
Os01g0948100 ,Homologous recombination
Os03g0738400 ,"Glycine, serine and threonine metabolism, Cyanoamino acid metabolism, Glyoxylate and dicarboxylate metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os05g0150900 ,Aminoacyl-tRNA biosynthesis
Os02g0529700 ,Ribosome
Os04g0683850 ,"Glutathione metabolism, Arachidonic acid metabolism"
Os03g0151700 ,Ribosome biogenesis in eukaryotes
Os05g0187000 ,Proteasome
Os11g0210300 ,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Tyrosine metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0204900 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0633100 ,"Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0677500 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os01g0851700 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0703100 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0126300 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os04g0608100 ,Amino sugar and nucleotide sugar metabolism
Os03g0851300 ,Proteasome
Os02g0197700 ,"Terpenoid backbone biosynthesis, Biosynthesis of secondary metabolites"
Os09g0467200 ,Glutathione metabolism
Os10g0536000 ,"RNA transport, Ubiquitin mediated proteolysis"
Os01g0276700 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os07g0633200 ,Spliceosome
Os01g0556400 ,Protein processing in endoplasmic reticulum
Os01g0101200 ,"Cysteine and methionine metabolism, Metabolic pathways"
Os10g0560450 ,Autophagy - other
Os07g0292800 ,Ribosome
Os06g0564700 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os05g0556900 ,Ribosome
Os01g0775400 ,Zeatin biosynthesis
Os01g0870201 ,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Metabolic pathways"
Os07g0207400 ,Ribosome
Os08g0564300 ,ABC transporters
Os05g0573300 ,"Pyrimidine metabolism, Metabolic pathways"
Os01g0225400 ,"Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0627900 ,RNA transport
Os02g0644700 ,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
Os05g0303000 ,"Spliceosome, Protein processing in endoplasmic reticulum, Endocytosis"
Os10g0502400 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0278400 ,Endocytosis
Os02g0530600 ,Base excision repair
Os06g0714300 ,Plant hormone signal transduction
Os07g0241500 ,"Zeatin biosynthesis, Biosynthesis of secondary metabolites"
Os05g0320700 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Flavonoid biosynthesis, Stilbenoid, diarylheptanoid and gingerol biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0287000 ,Ribosome
Os11g0485200 ,Oxidative phosphorylation
Os12g0609800 ,Ribosome biogenesis in eukaryotes
Os11g0153800 ,Ribosome
Os10g0363300 ,"Fatty acid biosynthesis, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism"
Os08g0496000 ,"Oxidative phosphorylation, Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
