GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cellular detoxification (GO:1990748)	227	12	2.61e+00	+	4.60e+00	2.19e-05	1.64e-03
cellular nitrogen compound metabolic process (GO:0034641)	3077	62	3.54e+01	+	1.75e+00	2.32e-05	1.71e-03
serine family amino acid biosynthetic process (GO:0009070)	46	6	5.29e-01	+	1.13e+01	2.74e-05	1.99e-03
cellular biosynthetic process (GO:0044249)	2585	54	2.97e+01	+	1.82e+00	3.76e-05	2.70e-03
xenobiotic transport (GO:0042908)	50	6	5.75e-01	+	1.04e+01	4.20e-05	2.97e-03
localization (GO:0051179)	2616	54	3.01e+01	+	1.80e+00	4.35e-05	3.03e-03
protein localization to organelle (GO:0033365)	285	13	3.28e+00	+	3.97e+00	4.36e-05	2.99e-03
organic substance biosynthetic process (GO:1901576)	2696	55	3.10e+01	+	1.77e+00	5.44e-05	3.69e-03
cellular response to chemical stimulus (GO:0070887)	727	22	8.36e+00	+	2.63e+00	6.02e-05	4.02e-03
cellular oxidant detoxification (GO:0098869)	215	11	2.47e+00	+	4.45e+00	6.32e-05	4.17e-03
sulfur compound biosynthetic process (GO:0044272)	112	8	1.29e+00	+	6.21e+00	7.29e-05	4.74e-03
citrate metabolic process (GO:0006101)	5	3	5.75e-02	+	5.22e+01	7.84e-05	5.03e-03
transmembrane transport (GO:0055085)	1369	33	1.57e+01	+	2.10e+00	9.43e-05	5.97e-03
serine family amino acid metabolic process (GO:0009069)	61	6	7.01e-01	+	8.55e+00	1.16e-04	7.26e-03
L-serine biosynthetic process (GO:0006564)	6	3	6.90e-02	+	4.35e+01	1.17e-04	7.19e-03
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	39	5	4.48e-01	+	1.12e+01	1.40e-04	8.53e-03
xenobiotic export (GO:0046618)	39	5	4.48e-01	+	1.12e+01	1.40e-04	8.43e-03
protein maturation (GO:0051604)	93	7	1.07e+00	+	6.55e+00	1.52e-04	9.00e-03
establishment of protein localization to organelle (GO:0072594)	249	11	2.86e+00	+	3.84e+00	2.17e-04	1.27e-02
mitochondrial transmembrane transport (GO:1990542)	69	6	7.93e-01	+	7.56e+00	2.17e-04	1.26e-02
protein transmembrane import into intracellular organelle (GO:0044743)	48	5	5.52e-01	+	9.06e+00	3.41e-04	1.95e-02
export across plasma membrane (GO:0140115)	48	5	5.52e-01	+	9.06e+00	3.41e-04	1.93e-02
aromatic amino acid family metabolic process (GO:0009072)	77	6	8.85e-01	+	6.78e+00	3.77e-04	2.11e-02
small molecule catabolic process (GO:0044282)	184	9	2.12e+00	+	4.25e+00	3.96e-04	2.19e-02
cellular response to oxidative stress (GO:0034599)	51	5	5.86e-01	+	8.53e+00	4.41e-04	2.41e-02
glucose metabolic process (GO:0006006)	51	5	5.86e-01	+	8.53e+00	4.41e-04	2.38e-02
L-serine metabolic process (GO:0006563)	29	4	3.33e-01	+	1.20e+01	5.20e-04	2.78e-02
cellular catabolic process (GO:0044248)	1314	30	1.51e+01	+	1.99e+00	5.48e-04	2.89e-02
tricarboxylic acid cycle (GO:0006099)	54	5	6.21e-01	+	8.05e+00	5.62e-04	2.94e-02
aerobic respiration (GO:0009060)	120	7	1.38e+00	+	5.07e+00	6.51e-04	3.37e-02
protein import into mitochondrial matrix (GO:0030150)	31	4	3.56e-01	+	1.12e+01	6.53e-04	3.34e-02
cellular response to chemical stress (GO:0062197)	56	5	6.44e-01	+	7.77e+00	6.56e-04	3.32e-02
organophosphate ester transport (GO:0015748)	57	5	6.55e-01	+	7.63e+00	7.07e-04	3.54e-02
acetate metabolic process (GO:0006083)	2	2	2.30e-02	+	8.70e+01	7.62e-04	3.78e-02
acetyl-CoA biosynthetic process from acetate (GO:0019427)	2	2	2.30e-02	+	8.70e+01	7.62e-04	3.74e-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	33	4	3.79e-01	+	1.05e+01	8.10e-04	3.93e-02
purine nucleoside monophosphate metabolic process (GO:0009126)	33	4	3.79e-01	+	1.05e+01	8.10e-04	3.89e-02
organic substance transport (GO:0071702)	1214	28	1.40e+01	+	2.01e+00	9.06e-04	4.31e-02
cellular respiration (GO:0045333)	130	7	1.49e+00	+	4.68e+00	1.02e-03	4.80e-02
