GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
sno(s)RNA metabolic process (GO:0016074)	18	6	4.09e-01	+	1.47e+01	1.13e-05	6.94e-04
mitochondrial gene expression (GO:0140053)	42	8	9.53e-01	+	8.39e+00	1.35e-05	8.19e-04
nucleoside phosphate metabolic process (GO:0006753)	309	21	7.01e+00	+	2.99e+00	1.90e-05	1.14e-03
cytoplasmic translational initiation (GO:0002183)	32	7	7.26e-01	+	9.64e+00	2.15e-05	1.28e-03
maturation of SSU-rRNA (GO:0030490)	46	8	1.04e+00	+	7.66e+00	2.41e-05	1.41e-03
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	33	7	7.49e-01	+	9.35e+00	2.56e-05	1.48e-03
formation of cytoplasmic translation initiation complex (GO:0001732)	22	6	4.99e-01	+	1.20e+01	2.92e-05	1.67e-03
response to metal ion (GO:0010038)	64	9	1.45e+00	+	6.20e+00	3.43e-05	1.94e-03
methylation (GO:0032259)	329	21	7.47e+00	+	2.81e+00	4.50e-05	2.51e-03
peptidyl-arginine modification (GO:0018195)	14	5	3.18e-01	+	1.57e+01	4.79e-05	2.65e-03
nucleotide biosynthetic process (GO:0009165)	165	14	3.75e+00	+	3.74e+00	5.16e-05	2.82e-03
nucleoside phosphate biosynthetic process (GO:1901293)	167	14	3.79e+00	+	3.69e+00	5.82e-05	3.15e-03
rRNA pseudouridine synthesis (GO:0031118)	15	5	3.40e-01	+	1.47e+01	6.26e-05	3.35e-03
positive regulation of translational fidelity (GO:0045903)	7	4	1.59e-01	+	2.52e+01	7.03e-05	3.71e-03
spliceosomal snRNP assembly (GO:0000387)	27	6	6.13e-01	+	9.79e+00	7.81e-05	4.08e-03
carboxylic acid metabolic process (GO:0019752)	818	38	1.86e+01	+	2.05e+00	8.29e-05	4.28e-03
cellular amino acid metabolic process (GO:0006520)	400	23	9.08e+00	+	2.53e+00	8.98e-05	4.59e-03
oxoacid metabolic process (GO:0043436)	828	38	1.88e+01	+	2.02e+00	9.25e-05	4.68e-03
snRNA pseudouridine synthesis (GO:0031120)	8	4	1.82e-01	+	2.20e+01	1.04e-04	5.19e-03
RNA methylation (GO:0001510)	76	9	1.73e+00	+	5.22e+00	1.15e-04	5.70e-03
snRNA modification (GO:0040031)	9	4	2.04e-01	+	1.96e+01	1.47e-04	7.21e-03
positive regulation of translation (GO:0045727)	19	5	4.31e-01	+	1.16e+01	1.60e-04	7.75e-03
ribonucleoside monophosphate biosynthetic process (GO:0009156)	46	7	1.04e+00	+	6.70e+00	1.65e-04	7.91e-03
ribonucleotide metabolic process (GO:0009259)	237	16	5.38e+00	+	2.97e+00	1.93e-04	9.20e-03
positive regulation of cellular amide metabolic process (GO:0034250)	20	5	4.54e-01	+	1.10e+01	1.96e-04	9.23e-03
organic acid metabolic process (GO:0006082)	860	38	1.95e+01	+	1.95e+00	2.01e-04	9.40e-03
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	10	4	2.27e-01	+	1.76e+01	2.02e-04	9.35e-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	33	6	7.49e-01	+	8.01e+00	2.05e-04	9.41e-03
purine nucleoside monophosphate metabolic process (GO:0009126)	33	6	7.49e-01	+	8.01e+00	2.05e-04	9.32e-03
regulation of translation (GO:0006417)	215	15	4.88e+00	+	3.07e+00	2.17e-04	9.77e-03
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	21	5	4.77e-01	+	1.05e+01	2.38e-04	1.06e-02
mitochondrion organization (GO:0007005)	147	12	3.34e+00	+	3.60e+00	2.42e-04	1.07e-02
protein methylation (GO:0006479)	85	9	1.93e+00	+	4.66e+00	2.49e-04	1.09e-02
protein alkylation (GO:0008213)	85	9	1.93e+00	+	4.66e+00	2.49e-04	1.08e-02
mitochondrial transport (GO:0006839)	105	10	2.38e+00	+	4.20e+00	2.53e-04	1.09e-02
regulation of cellular amide metabolic process (GO:0034248)	219	15	4.97e+00	+	3.02e+00	2.62e-04	1.11e-02
RNA 3'-end processing (GO:0031123)	86	9	1.95e+00	+	4.61e+00	2.69e-04	1.14e-02
peptidyl-arginine N-methylation (GO:0035246)	11	4	2.50e-01	+	1.60e+01	2.71e-04	1.13e-02
ribose phosphate metabolic process (GO:0019693)	245	16	5.56e+00	+	2.88e+00	2.74e-04	1.14e-02
tRNA processing (GO:0008033)	129	11	2.93e+00	+	3.76e+00	3.07e-04	1.26e-02
nucleoside monophosphate biosynthetic process (GO:0009124)	52	7	1.18e+00	+	5.93e+00	3.25e-04	1.32e-02
nucleobase metabolic process (GO:0009112)	37	6	8.40e-01	+	7.14e+00	3.56e-04	1.44e-02
organophosphate metabolic process (GO:0019637)	614	29	1.39e+01	+	2.08e+00	3.65e-04	1.46e-02
peptidyl-arginine methylation (GO:0018216)	13	4	2.95e-01	+	1.36e+01	4.56e-04	1.81e-02
nucleobase-containing compound biosynthetic process (GO:0034654)	536	26	1.22e+01	+	2.14e+00	4.60e-04	1.81e-02
tRNA modification (GO:0006400)	94	9	2.13e+00	+	4.22e+00	4.92e-04	1.92e-02
monosaccharide metabolic process (GO:0005996)	160	12	3.63e+00	+	3.30e+00	4.95e-04	1.92e-02
establishment of localization in cell (GO:0051649)	712	32	1.62e+01	+	1.98e+00	5.72e-04	2.20e-02
nucleobase biosynthetic process (GO:0046112)	27	5	6.13e-01	+	8.16e+00	6.53e-04	2.49e-02
purine-containing compound metabolic process (GO:0072521)	241	15	5.47e+00	+	2.74e+00	6.71e-04	2.54e-02
'de novo' IMP biosynthetic process (GO:0006189)	15	4	3.40e-01	+	1.17e+01	7.16e-04	2.69e-02
regulation of translational fidelity (GO:0006450)	29	5	6.58e-01	+	7.60e+00	8.69e-04	3.24e-02
aromatic compound biosynthetic process (GO:0019438)	761	33	1.73e+01	+	1.91e+00	8.71e-04	3.22e-02
defense response (GO:0006952)	1050	9	2.38e+01	-	3.78e-01	9.62e-04	3.53e-02
cellular localization (GO:0051641)	834	35	1.89e+01	+	1.85e+00	9.69e-04	3.53e-02
pyrimidine nucleobase biosynthetic process (GO:0019856)	17	4	3.86e-01	+	1.04e+01	1.07e-03	3.86e-02
carbohydrate derivative metabolic process (GO:1901135)	623	28	1.41e+01	+	1.98e+00	1.07e-03	3.85e-02
'de novo' UMP biosynthetic process (GO:0044205)	7	3	1.59e-01	+	1.89e+01	1.16e-03	4.15e-02
heterocycle biosynthetic process (GO:0018130)	691	30	1.57e+01	+	1.91e+00	1.22e-03	4.33e-02
IMP biosynthetic process (GO:0006188)	18	4	4.09e-01	+	9.79e+00	1.28e-03	4.50e-02
protein localization to mitochondrion (GO:0070585)	67	7	1.52e+00	+	4.60e+00	1.29e-03	4.48e-02
establishment of protein localization to mitochondrion (GO:0072655)	67	7	1.52e+00	+	4.60e+00	1.29e-03	4.45e-02
