Gene stable ID,Triticum aestivum gene stable ID
Os01g0103800,TraesCS4A02G095000
Os01g0103800,TraesCS5A02G013400
Os01g0103800,TraesCS5B02G011400
Os01g0103800,TraesCS4B02G209500
Os01g0103900,TraesCS3B02G093900
Os01g0103900,TraesCS3A02G078800
Os01g0103900,TraesCS3D02G079300
Os01g0104000,TraesCS3A02G078700
Os01g0104000,TraesCS3B02G093800
Os01g0104000,TraesCS3D02G079200
Os01g0104200,TraesCS3A02G078400
Os01g0104200,TraesCS3D02G078900
Os01g0104200,TraesCS3B02G093300
Os01g0104400,TraesCS3B02G093100
Os01g0104400,TraesCS3D02G078700
Os01g0104400,TraesCS3D02G078600
Os01g0104400,TraesCS3A02G078200
Os01g0104400,TraesCS3A02G078100
Os01g0104400,TraesCS3B02G093000
Os01g0104600,TraesCS4A02G125100
Os01g0104600,TraesCS3B02G231100
Os01g0104600,TraesCS4D02G180900
Os01g0104600,TraesCS3A02G194600
Os01g0104800,TraesCS7A02G391500
Os01g0104800,TraesCS7D02G387100
Os01g0104800,TraesCS7B02G293400
Os01g0104800,TraesCS5A02G398400
Os01g0104800,TraesCS5D02G407900
Os01g0104900,TraesCS3B02G092700
Os01g0104900,TraesCS3A02G077800
Os01g0104900,TraesCS3D02G078400
Os01g0105800,TraesCS4D02G054300
Os01g0105900,TraesCS4A02G260200
Os01g0105900,TraesCS4D02G054500
Os01g0105900,TraesCS4B02G054400
Os01g0106300,TraesCS1A02G268400
Os01g0106300,TraesCS1D02G268500
Os01g0106300,TraesCS1B02G279100
Os01g0106400,TraesCS1A02G268400
Os01g0106400,TraesCS1D02G268500
Os01g0106400,TraesCS1B02G279100
Os01g0106500,TraesCS3B02G001400
Os01g0106500,TraesCS3A02G001900
Os01g0106600,TraesCS3A02G002000
Os01g0106600,TraesCSU02G056100
Os01g0106600,TraesCS3B02G001500
Os01g0106600,TraesCS3B02G032900
Os01g0106900,TraesCS3A02G001700
Os01g0106900,TraesCSU02G056300
Os01g0106900,TraesCS4A02G442600
Os01g0106900,TraesCS7A02G056000
Os01g0106900,TraesCS3B02G000700
Os01g0106900,TraesCS7D02G050900
Os01g0107000,TraesCS3D02G018800
Os01g0107000,TraesCS3A02G026700
Os01g0107000,TraesCS3B02G017300
Os01g0107900,TraesCS3D02G009800
Os01g0107900,TraesCS3B02G000200
Os01g0108000,TraesCS3D02G009600
Os01g0108000,TraesCS3A02G000900
Os01g0108000,TraesCS3B02G003100
Os01g0108400,TraesCS3B02G002900
Os01g0108400,TraesCS5A02G533300
Os01g0108400,TraesCS3D02G009500
Os01g0108400,TraesCS3B02G002400
Os01g0108400,TraesCS3B02G002600
Os01g0108400,TraesCS3D02G009100
Os01g0108400,TraesCS3B02G002700
Os01g0108400,TraesCS3B02G003400
Os01g0108400,TraesCS3D02G009300
Os01g0108400,TraesCS3A02G000500
Os01g0108400,TraesCS3B02G003300
Os01g0108400,TraesCS3B02G002500
Os01g0108400,TraesCS3D02G009400
Os01g0108400,TraesCS3A02G000800
Os01g0108400,TraesCS3B02G003200
Os01g0108400,TraesCS4B02G364900
Os01g0108400,TraesCS3A02G000700
Os01g0108400,TraesCS4B02G365600
Os01g0108400,TraesCS5A02G533500
Os01g0108400,TraesCS3B02G003600
Os01g0108400,TraesCS3D02G009000
Os01g0108400,TraesCSU02G138800
Os01g0108400,TraesCS3B02G003000
Os01g0108800,TraesCS3A02G000300
Os01g0108800,TraesCS3B02G003800
Os01g0108800,TraesCS3D02G008800
Os01g0109700,TraesCSU02G039900
Os01g0109700,TraesCS3D02G007600
Os01g0109700,TraesCS3B02G005900
Os01g0109750,TraesCS3B02G005800
Os01g0109750,TraesCSU02G039800
Os01g0110200,TraesCS3D02G006500
Os01g0110200,TraesCS3B02G009600
Os01g0110400,TraesCS3A02G003800
Os01g0110400,TraesCS3D02G005500
Os01g0110400,TraesCS3B02G008700
Os01g0110500,TraesCS3B02G008600
Os01g0110500,TraesCS3D02G005400
Os01g0110500,TraesCS3A02G003900
Os01g0110700,TraesCS3B02G008500
Os01g0110700,TraesCS3B02G011200
Os01g0110700,TraesCS3D02G005000
Os01g0110800,TraesCS3D02G072300
Os01g0111100,TraesCS3D02G004600
Os01g0111100,TraesCS3A02G005900
Os01g0111100,TraesCS3B02G008100
Os01g0111500,TraesCS3B02G007700
Os01g0111500,TraesCS3B02G010400
Os01g0111500,TraesCS3D02G004300
Os01g0111500,TraesCS3A02G006300
Os01g0111700,TraesCS3B02G011700
Os01g0111700,TraesCS3D02G003500
Os01g0111700,TraesCS3A02G007000
Os01g0111700,TraesCS3B02G006800
Os01g0111900,TraesCS3B02G012100
Os01g0111900,TraesCS3A02G007600
Os01g0111900,TraesCS3D02G003100
Os01g0111900,TraesCS3B02G006300
Os01g0112000,TraesCSU02G042400
Os01g0112000,TraesCS3A02G007700
Os01g0112000,TraesCS3D02G003000
Os01g0112100,TraesCS3A02G008500
Os01g0112500,TraesCS3B02G012500
Os01g0112500,TraesCS3D02G001900
Os01g0112500,TraesCS3A02G009600
Os01g0112500,TraesCSU02G172500
Os01g0113200,TraesCSU02G076100
Os01g0113350,TraesCS3A02G064300
Os01g0113350,TraesCS3D02G064700
Os01g0113350,TraesCSU02G045500
Os01g0113350,TraesCS3A02G064400
Os01g0113350,TraesCS2D02G419700
Os01g0113350,TraesCS3A02G063800
Os01g0113350,TraesCS3A02G014700
Os01g0113350,TraesCS3A02G016300
Os01g0113350,TraesCS3B02G077000
Os01g0113350,TraesCS3D02G064800
Os01g0113350,TraesCS3A02G016100
Os01g0113350,TraesCSU02G166600
Os01g0113350,TraesCS3D02G062500
Os01g0113350,TraesCS3B02G079400
Os01g0113350,TraesCS3D02G062600
Os01g0113350,TraesCS3A02G015300
Os01g0113350,TraesCS3B02G076900
Os01g0113350,TraesCS2D02G419800
Os01g0113350,TraesCS3D02G063800
Os01g0113350,TraesCS3A02G063700
Os01g0113350,TraesCS3D02G013600
Os01g0113350,TraesCSU02G045400
Os01g0113350,TraesCS3A02G015100
Os01g0113350,TraesCS3D02G012900
Os01g0113350,TraesCSU02G045100
Os01g0113350,TraesCS3D02G012800
Os01g0113400,TraesCS5B02G528300
Os01g0113400,TraesCS3D02G064200
Os01g0113400,TraesCS5D02G396900
Os01g0113400,TraesCS1A02G407000
Os01g0113400,TraesCS1D02G015400
Os01g0113400,TraesCS2D02G530700
Os01g0113400,TraesCS5A02G387000
Os01g0113400,TraesCS1A02G018500
Os01g0113400,TraesCS3D02G064300
Os01g0113400,TraesCS1D02G015800
Os01g0113400,TraesCS2B02G558500
Os01g0113400,TraesCS5D02G527500
Os01g0113400,TraesCS3D02G063100
Os01g0113400,TraesCS1D02G017900
Os01g0113400,TraesCS1B02G020600
Os01g0113400,TraesCS1D02G017700
Os01g0113400,TraesCS5B02G392000
Os01g0113400,TraesCS1A02G017900
Os01g0113400,TraesCS3B02G432500
Os01g0113400,TraesCS1B02G022300
Os01g0113500,TraesCS1A02G018600
Os01g0113500,TraesCSU02G153700
Os01g0113500,TraesCS3A02G016700
Os01g0113500,TraesCS1D02G015300
Os01g0113500,TraesCSU02G156200
Os01g0113500,TraesCSU02G178300
Os01g0113500,TraesCS1A02G018000
Os01g0113500,TraesCSU02G046400
Os01g0113500,TraesCS3D02G063000
Os01g0113500,TraesCS1B02G020700
Os01g0113500,TraesCS5B02G391900
Os01g0113500,TraesCS3D02G014000
Os01g0113500,TraesCS3A02G018500
Os01g0113500,TraesCS1D02G015900
Os01g0113500,TraesCS2B02G558600
Os01g0113500,TraesCSU02G044100
Os01g0113500,TraesCS1D02G017800
Os01g0113500,TraesCS1B02G022400
Os01g0113500,TraesCSU02G156400
Os01g0113500,TraesCSU02G177600
Os01g0113500,TraesCS3A02G018200
Os01g0113500,TraesCS5B02G528200
Os01g0113500,TraesCS3A02G017200
Os01g0113500,TraesCS3D02G014600
Os01g0113500,TraesCS3B02G030500
Os01g0113500,TraesCSU02G164800
Os01g0113500,TraesCS2D02G530900
Os01g0113500,TraesCSU02G044400
Os01g0113500,TraesCS2A02G528000
Os01g0113500,TraesCSU02G165400
Os01g0113500,TraesCS5D02G396800
Os01g0113500,TraesCSU02G156000
Os01g0113500,TraesCS3D02G064100
Os01g0114100,TraesCS5B02G528300
Os01g0114100,TraesCS3D02G064200
Os01g0114100,TraesCS5D02G396900
Os01g0114100,TraesCS1A02G407000
Os01g0114100,TraesCS1D02G015400
Os01g0114100,TraesCS2D02G530700
Os01g0114100,TraesCS5A02G387000
Os01g0114100,TraesCS1A02G018500
Os01g0114100,TraesCS3D02G064300
Os01g0114100,TraesCS1D02G015800
Os01g0114100,TraesCS2B02G558500
Os01g0114100,TraesCS5D02G527500
Os01g0114100,TraesCS3D02G063100
Os01g0114100,TraesCS1D02G017900
Os01g0114100,TraesCS1B02G020600
Os01g0114100,TraesCS1D02G017700
Os01g0114100,TraesCS5B02G392000
Os01g0114100,TraesCS1A02G017900
Os01g0114100,TraesCS3B02G432500
Os01g0114100,TraesCS1B02G022300
Os01g0115900,TraesCS3D02G014200
Os01g0115900,TraesCSU02G042800
Os01g0116900,TraesCS1A02G018600
Os01g0116900,TraesCSU02G153700
Os01g0116900,TraesCS3A02G016700
Os01g0116900,TraesCS1D02G015300
Os01g0116900,TraesCSU02G156200
Os01g0116900,TraesCSU02G178300
Os01g0116900,TraesCS1A02G018000
Os01g0116900,TraesCSU02G046400
Os01g0116900,TraesCS3D02G063000
Os01g0116900,TraesCS1B02G020700
Os01g0116900,TraesCS5B02G391900
Os01g0116900,TraesCS3D02G014000
Os01g0116900,TraesCS3A02G018500
Os01g0116900,TraesCS1D02G015900
Os01g0116900,TraesCS2B02G558600
Os01g0116900,TraesCSU02G044100
Os01g0116900,TraesCS1D02G017800
Os01g0116900,TraesCS1B02G022400
Os01g0116900,TraesCSU02G156400
Os01g0116900,TraesCSU02G177600
Os01g0116900,TraesCS3A02G018200
Os01g0116900,TraesCS5B02G528200
Os01g0116900,TraesCS3A02G017200
Os01g0116900,TraesCS3D02G014600
Os01g0116900,TraesCS3B02G030500
Os01g0116900,TraesCSU02G164800
Os01g0116900,TraesCS2D02G530900
Os01g0116900,TraesCSU02G044400
Os01g0116900,TraesCS2A02G528000
Os01g0116900,TraesCSU02G165400
Os01g0116900,TraesCS5D02G396800
Os01g0116900,TraesCSU02G156000
Os01g0116900,TraesCS3D02G064100
Os01g0117100,TraesCS1A02G018600
Os01g0117100,TraesCSU02G153700
Os01g0117100,TraesCS3A02G016700
Os01g0117100,TraesCS1D02G015300
Os01g0117100,TraesCSU02G156200
Os01g0117100,TraesCSU02G178300
Os01g0117100,TraesCS1A02G018000
Os01g0117100,TraesCSU02G046400
Os01g0117100,TraesCS3D02G063000
Os01g0117100,TraesCS1B02G020700
Os01g0117100,TraesCS5B02G391900
Os01g0117100,TraesCS3D02G014000
Os01g0117100,TraesCS3A02G018500
Os01g0117100,TraesCS1D02G015900
Os01g0117100,TraesCS2B02G558600
Os01g0117100,TraesCSU02G044100
Os01g0117100,TraesCS1D02G017800
Os01g0117100,TraesCS1B02G022400
Os01g0117100,TraesCSU02G156400
Os01g0117100,TraesCSU02G177600
Os01g0117100,TraesCS3A02G018200
Os01g0117100,TraesCS5B02G528200
Os01g0117100,TraesCS3A02G017200
Os01g0117100,TraesCS3D02G014600
Os01g0117100,TraesCS3B02G030500
Os01g0117100,TraesCSU02G164800
Os01g0117100,TraesCS2D02G530900
Os01g0117100,TraesCSU02G044400
Os01g0117100,TraesCS2A02G528000
Os01g0117100,TraesCSU02G165400
Os01g0117100,TraesCS5D02G396800
Os01g0117100,TraesCSU02G156000
Os01g0117100,TraesCS3D02G064100
Os01g0117300,TraesCS1A02G018600
Os01g0117300,TraesCSU02G153700
Os01g0117300,TraesCS3A02G016700
Os01g0117300,TraesCS1D02G015300
Os01g0117300,TraesCSU02G156200
Os01g0117300,TraesCSU02G178300
Os01g0117300,TraesCS1A02G018000
Os01g0117300,TraesCSU02G046400
Os01g0117300,TraesCS3D02G063000
Os01g0117300,TraesCS1B02G020700
Os01g0117300,TraesCS5B02G391900
Os01g0117300,TraesCS3D02G014000
Os01g0117300,TraesCS3A02G018500
Os01g0117300,TraesCS1D02G015900
Os01g0117300,TraesCS2B02G558600
Os01g0117300,TraesCSU02G044100
Os01g0117300,TraesCS1D02G017800
Os01g0117300,TraesCS1B02G022400
Os01g0117300,TraesCSU02G156400
Os01g0117300,TraesCSU02G177600
Os01g0117300,TraesCS3A02G018200
Os01g0117300,TraesCS5B02G528200
Os01g0117300,TraesCS3A02G017200
Os01g0117300,TraesCS3D02G014600
Os01g0117300,TraesCS3B02G030500
Os01g0117300,TraesCSU02G164800
Os01g0117300,TraesCS2D02G530900
Os01g0117300,TraesCSU02G044400
Os01g0117300,TraesCS2A02G528000
Os01g0117300,TraesCSU02G165400
Os01g0117300,TraesCS5D02G396800
Os01g0117300,TraesCSU02G156000
Os01g0117300,TraesCS3D02G064100
Os01g0117900,TraesCS3D02G027300
Os01g0117900,TraesCS3B02G026700
Os01g0117900,TraesCS3A02G019600
Os01g0118000,TraesCS3B02G025200
Os01g0118000,TraesCS3A02G020300
Os01g0118000,TraesCS3D02G026400
Os01g0118100,TraesCS3A02G021300
Os01g0118100,TraesCS3B02G024900
Os01g0118100,TraesCS3D02G025600
Os01g0118300,TraesCS3B02G024600
Os01g0118300,TraesCS3D02G025400
Os01g0118300,TraesCS3A02G021500
Os01g0118400,TraesCS3B02G024000
Os01g0118400,TraesCS3A02G021800
Os01g0118400,TraesCS3D02G025000
Os01g0118600,TraesCS3B02G023900
Os01g0118600,TraesCS3D02G024800
Os01g0118700,TraesCS3D02G024500
Os01g0118700,TraesCS3A02G022200
Os01g0118700,TraesCS3B02G023700
Os01g0119000,TraesCS3A02G023000
Os01g0119000,TraesCS3A02G022900
Os01g0119000,TraesCS3B02G022000
Os01g0119000,TraesCS3D02G023200
Os01g0119000,TraesCS3B02G021900
Os01g0119000,TraesCS3D02G023100
Os01g0119100,TraesCS3B02G021700
Os01g0119100,TraesCS3A02G023100
Os01g0119100,TraesCS3D02G023000
Os01g0120300,TraesCS3B02G021000
Os01g0120300,TraesCS3D02G022400
Os01g0120300,TraesCS3A02G023800
Os01g0120400,TraesCS3A02G024100
Os01g0120400,TraesCS3B02G020800
Os01g0120400,TraesCS3D02G022200
Os01g0120500,TraesCS3A02G024300
Os01g0120500,TraesCS3D02G022000
Os01g0120500,TraesCS3D02G022100
Os01g0120500,TraesCS3B02G020500
Os01g0120500,TraesCS3A02G024200
Os01g0120500,TraesCS3B02G020700
Os01g0120600,TraesCS3A02G024600
Os01g0120600,TraesCS3B02G020200
Os01g0120700,TraesCS3A02G024900
Os01g0120700,TraesCS3B02G019900
Os01g0120700,TraesCS3D02G021200
Os01g0120800,TraesCS5D02G050700
Os01g0120800,TraesCS5A02G042400
Os01g0120800,TraesCS7D02G069200
Os01g0120800,TraesCS3D02G020200
Os01g0120800,TraesCS5B02G045900
Os01g0120800,TraesCS7A02G074200
Os01g0120800,TraesCS3A02G025500
Os01g0120800,TraesCS3B02G019500
Os01g0121100,TraesCS3A02G025700
Os01g0121100,TraesCS3B02G019300
Os01g0121100,TraesCS3D02G020000
Os01g0121200,TraesCS3A02G025800
Os01g0121200,TraesCS3B02G019200
Os01g0121200,TraesCS3D02G019900
Os01g0121300,TraesCS3B02G018800
Os01g0121300,TraesCS3A02G026000
Os01g0121300,TraesCS3D02G019700
Os01g0121700,TraesCS3A02G026500
Os01g0121700,TraesCS3D02G019000
Os01g0121700,TraesCS3B02G017100
Os01g0121800,TraesCS3B02G017200
Os01g0121800,TraesCS3A02G026600
Os01g0121800,TraesCS3D02G018900
Os01g0123700,TraesCS4A02G395500
Os01g0123700,TraesCS4A02G395600
Os01g0123700,TraesCS5D02G504400
Os01g0123900,TraesCS3D02G035700
Os01g0124650,TraesCS3D02G035700
Os01g0125600,TraesCS3B02G034100
Os01g0125600,TraesCS3A02G048000
Os01g0125600,TraesCS3D02G031400
Os01g0125800,TraesCS3B02G034400
Os01g0125800,TraesCS3D02G031900
Os01g0125800,TraesCS3A02G047800
Os01g0126100,TraesCS4B02G037600
Os01g0126100,TraesCS4A02G276100
Os01g0126100,TraesCS4D02G035000
Os01g0126200,TraesCS1B02G033000
Os01g0126200,TraesCS3A02G047500
Os01g0126200,TraesCS3B02G035200
Os01g0126200,TraesCS1A02G027100
Os01g0126200,TraesCS3D02G032400
Os01g0127400,TraesCS3B02G035900
Os01g0127400,TraesCS3A02G046900
Os01g0127400,TraesCS3D02G033000
Os01g0127450,TraesCS3A02G046800
Os01g0127450,TraesCS3D02G033100
Os01g0127450,TraesCS3B02G036000
Os01g0127900,TraesCS3B02G039000
Os01g0127900,TraesCS3D02G036100
Os01g0127900,TraesCS3A02G044800
Os01g0128000,TraesCS3B02G039100
Os01g0128000,TraesCS3D02G036200
Os01g0128000,TraesCS3A02G044700
Os01g0128100,TraesCS3D02G036700
Os01g0128100,TraesCS3A02G044100
Os01g0128100,TraesCS3B02G039500
Os01g0128200,TraesCS3D02G036800
Os01g0128200,TraesCS3B02G039600
Os01g0128200,TraesCS3B02G039700
Os01g0128200,TraesCS3A02G044000
Os01g0128200,TraesCS3D02G036900
Os01g0128200,TraesCS3A02G043900
Os01g0128300,TraesCS3D02G037000
Os01g0128300,TraesCS3A02G043800
Os01g0128300,TraesCS3B02G039800
Os01g0128400,TraesCS3A02G043700
Os01g0128400,TraesCS3D02G037100
Os01g0128400,TraesCS3B02G039900
Os01g0128800,TraesCS3B02G040000
Os01g0128800,TraesCS3A02G043600
Os01g0128800,TraesCS3D02G037200
Os01g0129500,TraesCS3B02G040300
Os01g0129500,TraesCS3D02G037500
Os01g0129500,TraesCS3A02G043100
Os01g0130000,TraesCS3B02G040900
Os01g0130000,TraesCS3A02G042600
Os01g0130000,TraesCS3D02G038000
Os01g0130200,TraesCS3B02G041200
Os01g0130200,TraesCS3A02G042700
Os01g0130200,TraesCS3B02G040800
Os01g0130200,TraesCS3D02G038100
Os01g0130200,TraesCS3A02G042400
Os01g0130200,TraesCS3D02G037900
Os01g0130400,TraesCS3B02G041700
Os01g0130400,TraesCS3A02G042100
Os01g0130400,TraesCS3D02G038300
Os01g0130900,TraesCS3A02G041900
Os01g0130900,TraesCS3D02G038400
Os01g0130900,TraesCS3B02G041800
Os01g0131300,TraesCS3A02G041600
Os01g0131300,TraesCS3D02G038600
Os01g0131300,TraesCS3A02G041700
Os01g0131300,TraesCS3B02G042000
Os01g0131450,TraesCS3D02G039100
Os01g0131600,TraesCS3B02G042400
Os01g0131800,TraesCS3B02G042600
Os01g0131800,TraesCS3A02G041000
Os01g0131800,TraesCS3D02G039200
Os01g0132000,TraesCS3D02G039600
Os01g0132000,TraesCS3A02G040700
Os01g0132500,TraesCS1B02G071100
Os01g0132500,TraesCS1A02G049500
Os01g0132500,TraesCS3D02G044200
Os01g0132500,TraesCS1B02G057200
Os01g0132500,TraesCS1D02G055000
Os01g0132500,TraesCS1A02G053500
Os01g0132500,TraesCS1A02G054200
Os01g0132500,TraesCS1D02G044800
Os01g0132500,TraesCS1D02G054800
Os01g0132500,TraesCS1A02G053800
Os01g0132500,TraesCS1A02G053300
Os01g0132500,TraesCS3B02G048200
Os01g0132500,TraesCS1B02G070800
Os01g0132500,TraesCS1B02G071300
Os01g0132500,TraesCS3A02G035800
Os01g0132766,TraesCS3A02G036000
Os01g0132766,TraesCS3D02G044000
Os01g0132766,TraesCS3B02G048000
Os01g0132800,TraesCS3D02G043900
Os01g0132800,TraesCS3B02G047900
Os01g0132800,TraesCS3A02G036100
Os01g0133100,TraesCS3B02G047800
Os01g0133100,TraesCS3A02G036200
Os01g0133100,TraesCS3D02G043800
Os01g0133200,TraesCS3A02G036300
Os01g0133200,TraesCS3D02G043700
Os01g0133200,TraesCS3B02G047700
Os01g0133400,TraesCS3B02G047300
Os01g0133400,TraesCS3A02G036600
Os01g0133400,TraesCS3D02G043500
Os01g0133500,TraesCS3A02G036800
Os01g0133500,TraesCS3D02G043300
Os01g0133500,TraesCS3B02G047100
Os01g0134500,TraesCS3B02G046100
Os01g0134500,TraesCS3A02G037600
Os01g0134500,TraesCS3D02G041900
Os01g0134900,TraesCS3D02G041700
Os01g0134900,TraesCS3B02G045600
Os01g0134900,TraesCS3A02G038200
Os01g0136400,TraesCS3A02G033400
Os01g0136400,TraesCS3B02G049100
Os01g0136400,TraesCS3D02G046900
Os01g0136400,TraesCSU02G238700
Os01g0136400,TraesCS3B02G053700
Os01g0136400,TraesCS3D02G030600
Os01g0136400,TraesCS3D02G045200
Os01g0136400,TraesCS3D02G046000
Os01g0136400,TraesCS3A02G034300
Os01g0136400,TraesCS3A02G048700
Os01g0136400,TraesCS3A02G034600
Os01g0136450,TraesCSU02G048000
Os01g0136450,TraesCSU02G230500
Os01g0136450,TraesCSU02G187600
Os01g0136500,TraesCS3B02G058600
Os01g0136500,TraesCS3D02G048900
Os01g0136800,TraesCS3D02G048000
Os01g0136800,TraesCS3A02G033000
Os01g0136800,TraesCSU02G047400
Os01g0138800,TraesCS3D02G050100
Os01g0138800,TraesCS3D02G050200
Os01g0138800,TraesCS3B02G059300
Os01g0138800,TraesCS3A02G050500
Os01g0138800,TraesCS3B02G059500
Os01g0138800,TraesCS3A02G050700
Os01g0138900,TraesCS3D02G050400
Os01g0138900,TraesCS3B02G059700
Os01g0138900,TraesCS3B02G059600
Os01g0138900,TraesCS3D02G050300
Os01g0138900,TraesCS3A02G050800
Os01g0139000,TraesCS3B02G060400
Os01g0139000,TraesCS3A02G051200
Os01g0139000,TraesCS3D02G050800
Os01g0139200,TraesCS3B02G060500
Os01g0139200,TraesCS3D02G050900
Os01g0139200,TraesCS3A02G051800
Os01g0139600,TraesCS3B02G060600
Os01g0139600,TraesCS3A02G052100
Os01g0139600,TraesCS3D02G051000
Os01g0140100,TraesCS6D02G134000
Os01g0140100,TraesCS3B02G064700
Os01g0140100,TraesCS3A02G053600
Os01g0140400,TraesCS3B02G064800
Os01g0140400,TraesCS3A02G053800
Os01g0140700,TraesCS3D02G052400
Os01g0140700,TraesCS4D02G322600
Os01g0140700,TraesCS5A02G497900
Os01g0140700,TraesCS4B02G325700
Os01g0140700,TraesCSU02G227200
Os01g0140700,TraesCS3D02G052300
Os01g0140700,TraesCS3A02G054000
Os01g0140700,TraesCS4B02G325600
Os01g0140700,TraesCS4D02G322500
Os01g0140700,TraesCSU02G231000
Os01g0140700,TraesCS3B02G064900
Os01g0140700,TraesCSU02G179500
Os01g0140700,TraesCS3B02G065100
Os01g0140700,TraesCS3A02G053900
Os01g0140700,TraesCS3B02G065000
Os01g0141600,TraesCS3B02G066100
Os01g0141600,TraesCS3A02G054800
Os01g0141600,TraesCS3D02G054100
Os01g0141700,TraesCS3A02G054700
Os01g0141700,TraesCS3D02G054200
Os01g0141700,TraesCS3B02G066200
Os01g0141900,TraesCS3A02G055100
Os01g0141900,TraesCS3B02G067400
Os01g0141900,TraesCS3D02G054400
Os01g0142100,TraesCS3D02G054600
Os01g0142100,TraesCS3B02G067300
Os01g0142100,TraesCS3A02G055300
Os01g0142200,TraesCS3D02G055300
Os01g0142200,TraesCS3A02G055400
Os01g0142200,TraesCS3D02G054800
Os01g0142200,TraesCS3B02G067800
Os01g0142200,TraesCS3D02G054700
Os01g0142300,TraesCS3B02G067900
Os01g0142300,TraesCS3A02G055500
Os01g0142300,TraesCS3D02G055400
Os01g0142500,TraesCS3D02G056100
Os01g0142500,TraesCS3D02G056200
Os01g0142500,TraesCS3A02G056100
Os01g0142500,TraesCS3B02G068900
Os01g0143100,TraesCS3A02G058200
Os01g0143100,TraesCS3D02G058400
Os01g0143100,TraesCS3B02G070700
Os01g0143300,TraesCS3B02G071700
Os01g0143300,TraesCS3A02G059200
Os01g0143300,TraesCS3D02G059600
Os01g0143300,TraesCS3D02G059700
Os01g0143300,TraesCS3D02G059500
Os01g0143300,TraesCS3D02G059800
Os01g0143800,TraesCS3D02G059900
Os01g0143800,TraesCS3B02G072200
Os01g0143800,TraesCS3A02G059600
Os01g0144100,TraesCS3A02G060300
Os01g0144100,TraesCS3B02G073200
Os01g0144100,TraesCS3B02G073000
Os01g0144100,TraesCS3D02G060600
Os01g0144700,TraesCS3B02G081200
Os01g0144700,TraesCS3B02G082300
Os01g0144700,TraesCS3A02G068100
Os01g0144700,TraesCS3D02G068000
Os01g0147700,TraesCS3B02G198800
Os01g0147700,TraesCS3A02G167400
Os01g0147700,TraesCS3D02G173500
Os01g0147900,TraesCS3D02G073000
Os01g0147900,TraesCS3B02G087400
Os01g0147900,TraesCS3A02G073300
Os01g0148000,TraesCS3B02G086400
Os01g0148000,TraesCS3D02G073100
Os01g0148000,TraesCS3B02G087600
Os01g0148000,TraesCS3A02G072400
Os01g0148000,TraesCS3A02G073400
Os01g0148000,TraesCS3D02G072000
Os01g0148050,TraesCS3B02G086400
Os01g0148050,TraesCS3D02G073100
Os01g0148050,TraesCS3B02G087600
Os01g0148050,TraesCS3A02G072400
Os01g0148050,TraesCS3A02G073400
Os01g0148050,TraesCS3D02G072000
Os01g0148500,TraesCS6B02G242500
Os01g0148500,TraesCS6B02G242400
Os01g0148500,TraesCS6B02G242300
Os01g0148700,TraesCS6A02G212600
Os01g0148700,TraesCS6B02G242100
Os01g0148700,TraesCS6B02G242200
Os01g0148700,TraesCS6A02G212500
Os01g0149350,TraesCS3A02G073700
Os01g0149350,TraesCS3D02G073500
Os01g0149350,TraesCS3B02G088100
Os01g0149350,TraesCS3A02G073800
