GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
ribosome localization (GO:0033750)	20	3	5.04e-02	+	5.95e+01	2.64e-05	2.22e-03
ribosome biogenesis (GO:0042254)	350	7	8.82e-01	+	7.94e+00	3.51e-05	2.91e-03
establishment of organelle localization (GO:0051656)	69	4	1.74e-01	+	2.30e+01	3.60e-05	2.93e-03
organic substance biosynthetic process (GO:1901576)	2696	19	6.79e+00	+	2.80e+00	4.49e-05	3.60e-03
cellular localization (GO:0051641)	834	10	2.10e+00	+	4.76e+00	5.58e-05	4.40e-03
intracellular transport (GO:0046907)	679	9	1.71e+00	+	5.26e+00	6.30e-05	4.89e-03
protein-containing complex subunit organization (GO:0043933)	528	8	1.33e+00	+	6.01e+00	6.60e-05	5.03e-03
chromatin organization (GO:0006325)	272	6	6.85e-01	+	8.76e+00	7.67e-05	5.76e-03
cellular amino acid metabolic process (GO:0006520)	400	7	1.01e+00	+	6.95e+00	7.99e-05	5.91e-03
biosynthetic process (GO:0009058)	2832	19	7.14e+00	+	2.66e+00	8.62e-05	6.28e-03
cellular protein-containing complex assembly (GO:0034622)	410	7	1.03e+00	+	6.78e+00	9.28e-05	6.66e-03
leucine biosynthetic process (GO:0009098)	4	2	1.01e-02	+	1.98e+02	9.33e-05	6.60e-03
translational initiation (GO:0006413)	94	4	2.37e-01	+	1.69e+01	1.14e-04	7.93e-03
organelle organization (GO:0006996)	1306	12	3.29e+00	+	3.65e+00	1.23e-04	8.47e-03
organonitrogen compound catabolic process (GO:1901565)	758	9	1.91e+00	+	4.71e+00	1.43e-04	9.69e-03
protein-containing complex assembly (GO:0065003)	450	7	1.13e+00	+	6.17e+00	1.63e-04	1.09e-02
ncRNA metabolic process (GO:0034660)	468	7	1.18e+00	+	5.94e+00	2.06e-04	1.36e-02
cellular component assembly (GO:0022607)	636	8	1.60e+00	+	4.99e+00	2.31e-04	1.50e-02
protein import into nucleus (GO:0006606)	45	3	1.13e-01	+	2.65e+01	2.46e-04	1.58e-02
carboxylic acid metabolic process (GO:0019752)	818	9	2.06e+00	+	4.37e+00	2.50e-04	1.58e-02
RNA export from nucleus (GO:0006405)	46	3	1.16e-01	+	2.59e+01	2.62e-04	1.63e-02
import into nucleus (GO:0051170)	46	3	1.16e-01	+	2.59e+01	2.62e-04	1.61e-02
oxoacid metabolic process (GO:0043436)	828	9	2.09e+00	+	4.31e+00	2.73e-04	1.66e-02
ribosomal small subunit export from nucleus (GO:0000056)	8	2	2.02e-02	+	9.92e+01	2.78e-04	1.67e-02
protein deneddylation (GO:0000338)	8	2	2.02e-02	+	9.92e+01	2.78e-04	1.65e-02
protein localization to nucleus (GO:0034504)	48	3	1.21e-01	+	2.48e+01	2.95e-04	1.73e-02
organelle localization (GO:0051640)	126	4	3.17e-01	+	1.26e+01	3.36e-04	1.95e-02
ribosomal large subunit export from nucleus (GO:0000055)	9	2	2.27e-02	+	8.82e+01	3.39e-04	1.94e-02
histone H3-K9 demethylation (GO:0033169)	9	2	2.27e-02	+	8.82e+01	3.39e-04	1.92e-02
organic acid metabolic process (GO:0006082)	860	9	2.17e+00	+	4.15e+00	3.58e-04	2.00e-02
leucine metabolic process (GO:0006551)	10	2	2.52e-02	+	7.94e+01	4.06e-04	2.25e-02
establishment of protein localization to organelle (GO:0072594)	249	5	6.27e-01	+	7.97e+00	4.72e-04	2.58e-02
peptidyl-arginine N-methylation (GO:0035246)	11	2	2.77e-02	+	7.22e+01	4.79e-04	2.59e-02
ncRNA processing (GO:0034470)	385	6	9.70e-01	+	6.19e+00	4.80e-04	2.56e-02
cellular catabolic process (GO:0044248)	1314	11	3.31e+00	+	3.32e+00	5.20e-04	2.75e-02
peptidyl-amino acid modification (GO:0018193)	404	6	1.02e+00	+	5.89e+00	6.15e-04	3.21e-02
peptidyl-arginine methylation (GO:0018216)	13	2	3.28e-02	+	6.11e+01	6.43e-04	3.33e-02
catabolic process (GO:0009056)	1575	12	3.97e+00	+	3.02e+00	6.59e-04	3.37e-02
transcription, DNA-templated (GO:0006351)	270	5	6.80e-01	+	7.35e+00	6.75e-04	3.42e-02
organic substance catabolic process (GO:1901575)	1369	11	3.45e+00	+	3.19e+00	7.26e-04	3.64e-02
peptidyl-arginine modification (GO:0018195)	14	2	3.53e-02	+	5.67e+01	7.34e-04	3.64e-02
nucleic acid-templated transcription (GO:0097659)	276	5	6.95e-01	+	7.19e+00	7.44e-04	3.65e-02
ribonucleoprotein complex assembly (GO:0022618)	157	4	3.96e-01	+	1.01e+01	7.52e-04	3.65e-02
RNA biosynthetic process (GO:0032774)	281	5	7.08e-01	+	7.06e+00	8.05e-04	3.87e-02
protein localization to organelle (GO:0033365)	285	5	7.18e-01	+	6.96e+00	8.56e-04	4.08e-02
ribonucleoprotein complex subunit organization (GO:0071826)	163	4	4.11e-01	+	9.74e+00	8.62e-04	4.06e-02
establishment of RNA localization (GO:0051236)	72	3	1.81e-01	+	1.65e+01	9.14e-04	4.27e-02
RNA transport (GO:0050658)	72	3	1.81e-01	+	1.65e+01	9.14e-04	4.23e-02
nucleic acid transport (GO:0050657)	72	3	1.81e-01	+	1.65e+01	9.14e-04	4.19e-02
