GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
response to red or far red light (GO:0009639)	56	7	9.13e-01	+	7.66e+00	6.75e-05	6.76e-03
inorganic anion transmembrane transport (GO:0098661)	38	6	6.20e-01	+	9.68e+00	7.02e-05	6.89e-03
lipid metabolic process (GO:0006629)	951	33	1.55e+01	+	2.13e+00	8.70e-05	8.37e-03
carbohydrate biosynthetic process (GO:0016051)	277	15	4.52e+00	+	3.32e+00	8.90e-05	8.39e-03
isoprenoid metabolic process (GO:0006720)	185	12	3.02e+00	+	3.98e+00	9.10e-05	8.42e-03
isoprenoid biosynthetic process (GO:0008299)	157	11	2.56e+00	+	4.30e+00	9.34e-05	8.48e-03
response to abiotic stimulus (GO:0009628)	527	22	8.59e+00	+	2.56e+00	9.88e-05	8.80e-03
carbohydrate metabolic process (GO:0005975)	1036	35	1.69e+01	+	2.07e+00	9.98e-05	8.73e-03
plastid organization (GO:0009657)	159	11	2.59e+00	+	4.24e+00	1.04e-04	8.91e-03
monosaccharide metabolic process (GO:0005996)	160	11	2.61e+00	+	4.22e+00	1.09e-04	9.23e-03
inositol phosphate catabolic process (GO:0071545)	13	4	2.12e-01	+	1.89e+01	1.32e-04	1.10e-02
inositol phosphate dephosphorylation (GO:0046855)	13	4	2.12e-01	+	1.89e+01	1.32e-04	1.08e-02
cellular ion homeostasis (GO:0006873)	110	9	1.79e+00	+	5.02e+00	1.35e-04	1.08e-02
organic hydroxy compound catabolic process (GO:1901616)	27	5	4.40e-01	+	1.14e+01	1.48e-04	1.16e-02
sulfur compound transport (GO:0072348)	27	5	4.40e-01	+	1.14e+01	1.48e-04	1.14e-02
polyol metabolic process (GO:0019751)	67	7	1.09e+00	+	6.41e+00	1.89e-04	1.44e-02
isopentenyl diphosphate biosynthetic process (GO:0009240)	15	4	2.45e-01	+	1.64e+01	2.10e-04	1.58e-02
phosphorylated carbohydrate dephosphorylation (GO:0046838)	15	4	2.45e-01	+	1.64e+01	2.10e-04	1.56e-02
isopentenyl diphosphate metabolic process (GO:0046490)	15	4	2.45e-01	+	1.64e+01	2.10e-04	1.53e-02
dephosphorylation (GO:0016311)	372	17	6.07e+00	+	2.80e+00	2.19e-04	1.57e-02
cellular lipid metabolic process (GO:0044255)	676	25	1.10e+01	+	2.27e+00	2.21e-04	1.56e-02
cellular carbohydrate biosynthetic process (GO:0034637)	206	12	3.36e+00	+	3.57e+00	2.34e-04	1.63e-02
sulfate transport (GO:0008272)	16	4	2.61e-01	+	1.53e+01	2.60e-04	1.78e-02
regulation of post-embryonic development (GO:0048580)	96	8	1.57e+00	+	5.11e+00	2.82e-04	1.91e-02
ion homeostasis (GO:0050801)	181	11	2.95e+00	+	3.73e+00	3.00e-04	2.00e-02
organic cyclic compound biosynthetic process (GO:1901362)	847	29	1.38e+01	+	2.10e+00	3.12e-04	2.06e-02
cellular cation homeostasis (GO:0030003)	98	8	1.60e+00	+	5.01e+00	3.21e-04	2.08e-02
regulation of multicellular organismal development (GO:2000026)	98	8	1.60e+00	+	5.01e+00	3.21e-04	2.06e-02
alpha-amino acid metabolic process (GO:1901605)	247	13	4.03e+00	+	3.23e+00	3.33e-04	2.11e-02
starch biosynthetic process (GO:0019252)	33	5	5.38e-01	+	9.29e+00	3.40e-04	2.12e-02
photosynthesis (GO:0015979)	187	11	3.05e+00	+	3.61e+00	3.90e-04	2.40e-02
inorganic cation transmembrane transport (GO:0098662)	324	15	5.28e+00	+	2.84e+00	4.42e-04	2.69e-02
cation homeostasis (GO:0055080)	161	10	2.63e+00	+	3.81e+00	4.75e-04	2.86e-02
response to light intensity (GO:0009642)	36	5	5.87e-01	+	8.52e+00	4.88e-04	2.89e-02
organic acid transport (GO:0015849)	133	9	2.17e+00	+	4.15e+00	5.05e-04	2.96e-02
polyol catabolic process (GO:0046174)	20	4	3.26e-01	+	1.23e+01	5.41e-04	3.13e-02
alcohol metabolic process (GO:0006066)	107	8	1.74e+00	+	4.58e+00	5.55e-04	3.18e-02
regulation of shoot system development (GO:0048831)	58	6	9.46e-01	+	6.34e+00	5.69e-04	3.22e-02
generation of precursor metabolites and energy (GO:0006091)	444	18	7.24e+00	+	2.49e+00	5.71e-04	3.19e-02
inorganic ion homeostasis (GO:0098771)	166	10	2.71e+00	+	3.69e+00	5.95e-04	3.29e-02
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)	8	3	1.30e-01	+	2.30e+01	6.17e-04	3.37e-02
vitamin metabolic process (GO:0006766)	83	7	1.35e+00	+	5.17e+00	6.28e-04	3.40e-02
pyridine-containing compound biosynthetic process (GO:0072525)	22	4	3.59e-01	+	1.11e+01	7.42e-04	3.97e-02
terpenoid biosynthetic process (GO:0016114)	116	8	1.89e+00	+	4.23e+00	9.11e-04	4.81e-02
organic acid biosynthetic process (GO:0016053)	425	17	6.93e+00	+	2.45e+00	9.23e-04	4.82e-02
nucleobase-containing small molecule metabolic process (GO:0055086)	388	16	6.33e+00	+	2.53e+00	9.52e-04	4.92e-02
